"1.1.1.Proporción de la población que vive por debajo del umbral internacional de la pobreza, desglosada por sexo, edad, situación laboral y ubicación geográfica (urbana o rural)",""
"Periodo","Proporción de la población que vive por debajo del umbral internacional de la pobreza, desglosada por sexo, edad, situación laboral y ubicación geográfica (urbana o rural)"
"2014","6.4"
"2012","6.5"
"2010","7.9"
"2008","7.9"
"2006","6.6"
"2005","9.4"
"2004","8.5"
"2002","8.6"
"2000","12.6"
"1998","17.5"
"1996","18.3"
"1994","12.5"
