"","1.1.3.Proporción de la población que habita en hogares en pobreza alimentaria","","","","","","","","","","","","",""
"Entidad Federativa","2014","2012","2010","2008","2006","2005","2004","2002","2000","1998","1996","1994","1992","1989"
"Estados Unidos Mexicanos","20.5","19.7","18.8","18.6","14","18.2","17.4","20","24.1","33.3","37.4","21.2","21.4","31.5"
"Aguascalientes","12.9","14.9","14.8","14.1","","","","","","","","","",""
"Baja California","9.7","10.9","9.8","7.6","","","","","","","","","",""
"Baja California Sur","10.6","13.1","11.2","7.7","","","","","","","","","",""
"Campeche","19.2","20.6","21.6","18.5","","","","","","","","","",""
"Coahuila de Zaragoza","11.8","11.6","11.5","11.3","","","","","","","","","",""
"Colima","10.6","11.4","8.6","7.4","","","","","","","","","",""
"Chiapas","48.5","46.7","50.9","48.2","","","","","","","","","",""
"Chihuahua","17.8","15.9","16.6","11.5","","","","","","","","","",""
"Ciudad de México","8.2","6.9","6","5.3","","","","","","","","","",""
"Durango","20.7","25","23.4","20","","","","","","","","","",""
"Guanajuato","17.9","16.9","16.5","13","","","","","","","","","",""
"Guerrero","35.6","45.1","38.8","38.9","","","","","","","","","",""
"Hidalgo","24.7","23.8","23.8","22.7","","","","","","","","","",""
"Jalisco","11.2","16.3","14.7","9.6","","","","","","","","","",""
"México","20.1","15.9","14.5","11.2","","","","","","","","","",""
"Michoacán de Ocampo","24.4","24.2","21.6","22.2","","","","","","","","","",""
"Morelos","20.5","15","13.9","17.5","","","","","","","","","",""
"Nayarit","18.8","23.4","17.8","14.4","","","","","","","","","",""
"Nuevo León","6.4","8.8","6","6.1","","","","","","","","","",""
"Oaxaca","42.1","34.4","36.2","32.9","","","","","","","","","",""
"Puebla","31.9","32.9","27.7","26.9","","","","","","","","","",""
"Querétaro","12.3","14.7","16","11","","","","","","","","","",""
"Quintana Roo","14.3","16.6","12.1","13.1","","","","","","","","","",""
"San Luis Potosí","23.2","23.3","26","22.2","","","","","","","","","",""
"Sinaloa","13.5","13.4","14.2","8.1","","","","","","","","","",""
"Sonora","9.7","10.2","10.9","7.8","","","","","","","","","",""
"Tabasco","17.9","23.6","22.4","24.9","","","","","","","","","",""
"Tamaulipas","16.1","14.9","14.5","12.4","","","","","","","","","",""
"Tlaxcala","27.1","24.4","26.8","21.7","","","","","","","","","",""
"Veracruz de Ignacio de la Llave","29.2","24","27.8","20.8","","","","","","","","","",""
"Yucatán","20.7","16.6","17.9","13","","","","","","","","","",""
"Zacatecas","26.7","30.3","29.7","22.3","","","","","","","","","",""
