"","1.2.1.Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2014","2014","2014","2014","2014","2014","2014","2014","2014","2012","2012","2012","2012","2012","2012","2012","2012","2012","2010","2010","2010","2010","2010","2010","2010","2010","2010"
"","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años"
"Estados Unidos Mexicanos","53.2","52.6","53.8","62.4","48.7","53.3","53.2","53.6","53.2","51.6","50.8","52.4","61.3","46.8","50.2","52.3","51.8","51.6","52","51.7","52.3","61","47.1","51","52.5","51.2","52.1"
"Aguascalientes","43.7","","","","","","","","","47.9","","","","","","","","","46.2","","","","","","","",""
"Baja California","35.2","","","","","","","","","38.8","","","","","","","","","37.9","","","","","","","",""
"Baja California Sur","35.9","","","","","","","","","38","","","","","","","","","35.5","","","","","","","",""
"Campeche","47.6","","","","","","","","","50.2","","","","","","","","","54.8","","","","","","","",""
"Coahuila de Zaragoza","41.3","","","","","","","","","40.7","","","","","","","","","40.7","","","","","","","",""
"Colima","40.7","","","","","","","","","40.7","","","","","","","","","39.6","","","","","","","",""
"Chiapas","78.7","","","","","","","","","76.4","","","","","","","","","80.9","","","","","","","",""
"Chihuahua","46.4","","","","","","","","","46","","","","","","","","","51.8","","","","","","","",""
"Ciudad de México","36.4","","","","","","","","","35.5","","","","","","","","","34","","","","","","","",""
"Durango","53.9","","","","","","","","","61.2","","","","","","","","","60.3","","","","","","","",""
"Guanajuato","55.1","","","","","","","","","49.3","","","","","","","","","54.2","","","","","","","",""
"Guerrero","67.9","","","","","","","","","71.9","","","","","","","","","69.5","","","","","","","",""
"Hidalgo","59.4","","","","","","","","","55.8","","","","","","","","","58.8","","","","","","","",""
"Jalisco","43.3","","","","","","","","","47.9","","","","","","","","","43.3","","","","","","","",""
"México","58.9","","","","","","","","","53.1","","","","","","","","","48.5","","","","","","","",""
"Michoacán de Ocampo","63.3","","","","","","","","","57.9","","","","","","","","","59.1","","","","","","","",""
"Morelos","58.4","","","","","","","","","50.1","","","","","","","","","49.1","","","","","","","",""
"Nayarit","47","","","","","","","","","53.2","","","","","","","","","45.7","","","","","","","",""
"Nuevo León","29.5","","","","","","","","","31.7","","","","","","","","","29.2","","","","","","","",""
"Oaxaca","68.8","","","","","","","","","63.6","","","","","","","","","68.3","","","","","","","",""
"Puebla","69.7","","","","","","","","","68.7","","","","","","","","","67.1","","","","","","","",""
"Querétaro","42","","","","","","","","","43.3","","","","","","","","","46.4","","","","","","","",""
"Quintana Roo","42.1","","","","","","","","","45","","","","","","","","","39.4","","","","","","","",""
"San Luis Potosí","56.7","","","","","","","","","57.1","","","","","","","","","59.6","","","","","","","",""
"Sinaloa","46.3","","","","","","","","","42.6","","","","","","","","","44.4","","","","","","","",""
"Sonora","36.6","","","","","","","","","33.8","","","","","","","","","40","","","","","","","",""
"Tabasco","51.9","","","","","","","","","52.7","","","","","","","","","61.2","","","","","","","",""
"Tamaulipas","49.1","","","","","","","","","47.2","","","","","","","","","48.3","","","","","","","",""
"Tlaxcala","66.6","","","","","","","","","63.9","","","","","","","","","67.7","","","","","","","",""
"Veracruz de Ignacio de la Llave","63","","","","","","","","","56.6","","","","","","","","","62.1","","","","","","","",""
"Yucatán","52.8","","","","","","","","","55.1","","","","","","","","","54.8","","","","","","","",""
"Zacatecas","59.7","","","","","","","","","60.6","","","","","","","","","67.1","","","","","","","",""
