"","1.2.2.Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2014","2014","2014","2014","2014","2014","2014","2014","2014","2012","2012","2012","2012","2012","2012","2012","2012","2012","2010","2010","2010","2010","2010","2010","2010","2010","2010"
"","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años"
"Estados Unidos Mexicanos","46.2","46","46.3","53.9","42.3","47.1","45.7","45.9","46.2","45.5","45.1","45.9","53.8","41.3","44.9","45.7","45.8","45.5","46.1","46","46.2","53.7","42","46","46.1","45.7","46.1"
"Aguascalientes","34.8","","","","","","","","","37.8","","","","","","","","","38.1","","","","","","","",""
"Baja California","28.6","","","","","","","","","30.2","","","","","","","","","31.5","","","","","","","",""
"Baja California Sur","30.3","","","","","","","","","30.1","","","","","","","","","31","","","","","","","",""
"Campeche","43.6","","","","","","","","","44.7","","","","","","","","","50.5","","","","","","","",""
"Coahuila de Zaragoza","30.2","","","","","","","","","27.9","","","","","","","","","27.8","","","","","","","",""
"Colima","34.3","","","","","","","","","34.4","","","","","","","","","34.7","","","","","","","",""
"Chiapas","76.2","","","","","","","","","74.7","","","","","","","","","78.5","","","","","","","",""
"Chihuahua","34.4","","","","","","","","","35.3","","","","","","","","","38.8","","","","","","","",""
"Ciudad de México","28.4","","","","","","","","","28.9","","","","","","","","","28.5","","","","","","","",""
"Durango","43.5","","","","","","","","","50.1","","","","","","","","","51.6","","","","","","","",""
"Guanajuato","46.6","","","","","","","","","44.5","","","","","","","","","48.5","","","","","","","",""
"Guerrero","65.2","","","","","","","","","69.7","","","","","","","","","67.6","","","","","","","",""
"Hidalgo","54.3","","","","","","","","","52.8","","","","","","","","","54.7","","","","","","","",""
"Jalisco","35.4","","","","","","","","","39.8","","","","","","","","","37","","","","","","","",""
"México","49.6","","","","","","","","","45.3","","","","","","","","","42.9","","","","","","","",""
"Michoacán de Ocampo","59.2","","","","","","","","","54.4","","","","","","","","","54.7","","","","","","","",""
"Morelos","52.3","","","","","","","","","45.5","","","","","","","","","43.2","","","","","","","",""
"Nayarit","40.5","","","","","","","","","47.6","","","","","","","","","41.4","","","","","","","",""
"Nuevo León","20.4","","","","","","","","","23.2","","","","","","","","","21","","","","","","","",""
"Oaxaca","66.8","","","","","","","","","61.9","","","","","","","","","67","","","","","","","",""
"Puebla","64.5","","","","","","","","","64.5","","","","","","","","","61.5","","","","","","","",""
"Querétaro","34.2","","","","","","","","","36.9","","","","","","","","","41.4","","","","","","","",""
"Quintana Roo","35.9","","","","","","","","","38.8","","","","","","","","","34.6","","","","","","","",""
"San Luis Potosí","49.1","","","","","","","","","50.5","","","","","","","","","52.4","","","","","","","",""
"Sinaloa","39.4","","","","","","","","","36.3","","","","","","","","","36.7","","","","","","","",""
"Sonora","29.4","","","","","","","","","29.1","","","","","","","","","33.1","","","","","","","",""
"Tabasco","49.6","","","","","","","","","49.7","","","","","","","","","57.1","","","","","","","",""
"Tamaulipas","37.9","","","","","","","","","38.4","","","","","","","","","39","","","","","","","",""
"Tlaxcala","58.9","","","","","","","","","57.9","","","","","","","","","60.3","","","","","","","",""
"Veracruz de Ignacio de la Llave","58","","","","","","","","","52.6","","","","","","","","","57.6","","","","","","","",""
"Yucatán","45.9","","","","","","","","","48.9","","","","","","","","","48.3","","","","","","","",""
"Zacatecas","52.3","","","","","","","","","54.2","","","","","","","","","60.2","","","","","","","",""
