"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Entidad Federativa","2014","2012","2010","2008","2006","2005","2004","2002","2000","1998","1996","1994","1992"
"Estados Unidos Mexicanos","13.05","17.06","15.3","16.83","14.56","14.4","17.26","20.29","23.57","28.13","31.02","31.05","35.68"
"Aguascalientes","5.76","4.89","8.15","6.3","","","","","","","","",""
"Aguascalientes","","","8.48","","","","","","9.27","","","",""
"Asientos","","","","","","","","","","","","",""
"Calvillo","","","8.41","","","","","","21.31","","","",""
"Cosío","","","","","","","","","","","","",""
"Jesús María","","","14.93","","","","","","27.29","","","",""
"Pabellón de Arteaga","","","7.06","","","","","","15.19","","","",""
"Rincón de Romos","","","32.22","","","","","","25.49","","","",""
"San José de Gracia","","","","","","","","","","","","",""
"Tepezalá","","","","","","","","","","","","",""
"El Llano","","","","","","","","","","","","",""
"San Francisco de los Romo","","","8.06","","","","","","","","","",""
"Baja California","12.36","9","13.02","10.98","","","","","","","","",""
"Ensenada","","","18.08","","","","","","18.46","","","",""
"Mexicali","","","14.58","","","","","","16.61","","","",""
"Tecate","","","16.47","","","","","","26.56","","","",""
"Tijuana","","","17.37","","","","","","26.77","","","",""
"Playas de Rosarito","","","23.64","","","","","","39.54","","","",""
"Baja California Sur","16.07","6.45","10.4","16.69","","","","","","","","",""
"Comondú","","","18.2","","","","","","25.32","","","",""
"Mulegé","","","","","","","","","","","","",""
"La Paz","","","9.66","","","","","","15.58","","","",""
"Los Cabos","","","23.95","","","","","","28.83","","","",""
"Loreto","","","","","","","","","","","","",""
"Campeche","17.55","13.98","16.52","15.6","","","","","","","","",""
"Calkiní","","","","","","","","","","","","",""
"Campeche","","","21.11","","","","","","21.94","","","",""
"Carmen","","","25.6","","","","","","36.1","","","",""
"Champotón","","","30.43","","","","","","56.19","","","",""
"Hecelchakán","","","","","","","","","","","","",""
"Hopelchén","","","","","","","","","","","","",""
"Palizada","","","","","","","","","","","","",""
"Tenabo","","","","","","","","","","","","",""
"Escárcega","","","40.31","","","","","","54.31","","","",""
"Calakmul","","","","","","","","","","","","",""
"Candelaria","","","","","","","","","","","","",""
"Coahuila de Zaragoza","5.4","5.67","8.34","6.51","","","","","","","","",""
"Abasolo","","","","","","","","","","","","",""
"Acuña","","","15.65","","","","","","31.52","","","",""
"Allende","","","16.29","","","","","","29.95","","","",""
"Arteaga","","","","","","","","","","","","",""
"Candela","","","","","","","","","","","","",""
"Castaños","","","28.45","","","","","","49.73","","","",""
"Cuatro Ciénegas","","","","","","","","","","","","",""
"Escobedo","","","","","","","","","","","","",""
