"15.1.2.Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema",""
"Periodo","Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema"
"2016","10.549"
"2015","10.6498"
"2014","10.6451"
"2013","10.6451"
"2012","10.6451"
"2011","10.6415"
"2010","10.6415"
"2009","10.5729"
"2008","10.093"
"2007","10.0651"
"2006","9.8075"
"2005","9.8075"
"2004","9.4345"
"2003","9.4345"
"2002","9.4312"
"2001","9.4258"
"2000","9.4258"
"1999","9.1836"
"1998","9.0702"
"1997","8.7315"
"1996","8.5349"
"1995","8.4758"
"1994","8.3307"
"1993","7.6088"
"1992","7.027"
