"","16.1.1.Número de defunciones por homicidio por cada 100 000 habitantes, desglosado por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Periodo","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 0 a 14 años","De 15 a 24 años","De 25 a 64 años","De 65 años y más"
"2015","17.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","20.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","24.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","24.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","","","","35.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","","","","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
