"17.3.2.Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total",""
"Periodo","Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total"
"2017/I","2.6"
"2016/I","2.4"
"2016/II","2.6"
"2016/III","2.6"
"2016/IV","2.7"
"2015/I","1.9"
"2015/II","2.2"
"2015/III","2.3"
"2015/IV","2.2"
"2014/I","1.7"
"2014/II","1.9"
"2014/III","1.8"
"2014/IV","1.9"
"2013/I","1.6"
"2013/II","1.9"
"2013/III","1.8"
"2013/IV","1.7"
"2012/I","1.8"
"2012/II","2.3"
"2012/III","1.8"
"2012/IV","1.7"
"2011/I","1.8"
"2011/II","2"
"2011/III","2.1"
"2011/IV","1.9"
"2010/I","1.9"
"2010/II","2.2"
"2010/III","2.1"
"2010/IV","1.8"
"2009/I","2.7"
"2009/II","2.5"
"2009/III","2.4"
"2009/IV","2"
"2008/I","2.1"
"2008/II","2.3"
"2008/III","2.1"
"2008/IV","2.6"
"2007/I","2.4"
"2007/II","2.7"
"2007/III","2.7"
"2007/IV","2.3"
"2006/I","2.4"
"2006/II","2.9"
"2006/III","2.8"
"2006/IV","2.5"
"2005/I","2.2"
"2005/II","2.7"
"2005/III","2.6"
"2005/IV","2.5"
"2004/I","2"
"2004/II","2.6"
"2004/III","2.6"
"2004/IV","2.3"
"2003/I","1.8"
"2003/II","2.1"
"2003/III","2.3"
"2003/IV","2.2"
"2002/I","1.2"
"2002/II","1.3"
"2002/III","1.4"
"2002/IV","1.4"
"2001/I","1.2"
"2001/II","1.2"
"2001/III","1.3"
"2001/IV","1.2"
"2000/I","0.9"
"2000/II","1"
"2000/III","1"
"2000/IV","1"
"1999/I","1"
"1999/II","1.1"
"1999/III","1"
"1999/IV","1"
"1998/I","0.9"
"1998/II","1.1"
"1998/III","1.2"
"1998/IV","1.2"
"1997/I","1"
"1997/II","1.2"
"1997/III","1.1"
"1997/IV","0.9"
"1996/I","1"
"1996/II","1.2"
"1996/III","1.1"
"1996/IV","1"
