"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"Entidad Federativa","2014","2012","2010"
"Estados Unidos Mexicanos","23.4","23.3","24.8"
"Aguascalientes","21.6","21.5","20.2"
"Aguascalientes","","","17.7"
"Asientos","","","31.7"
"Calvillo","","","20.4"
"Cosío","","","19"
"Jesús María","","","25.4"
"Pabellón de Arteaga","","","21.2"
"Rincón de Romos","","","27.5"
"San José de Gracia","","","23.7"
"Tepezalá","","","19.5"
"El Llano","","","39.2"
"San Francisco de los Romo","","","23.7"
"Baja California","17.2","15.2","16.4"
"Ensenada","","","20.1"
"Mexicali","","","16.4"
"Tecate","","","13.9"
"Tijuana","","","15.9"
"Playas de Rosarito","","","16.7"
"Baja California Sur","24.6","21.9","26"
"Comondú","","","28.1"
"Mulegé","","","28.7"
"La Paz","","","23.7"
"Los Cabos","","","27.1"
"Loreto","","","28"
"Campeche","24.3","18.7","31.2"
"Calkiní","","","32.2"
"Campeche","","","27"
"Carmen","","","31"
"Champotón","","","30.6"
"Hecelchakán","","","33.5"
"Hopelchén","","","36.5"
"Palizada","","","37.6"
"Tenabo","","","30.9"
"Escárcega","","","37.2"
"Calakmul","","","32.7"
"Candelaria","","","41.5"
"Coahuila de Zaragoza","22","21.2","20.8"
"Abasolo","","","13.1"
"Acuña","","","25.3"
"Allende","","","18.5"
"Arteaga","","","29.3"
"Candela","","","22.6"
"Castaños","","","26.1"
"Cuatro Ciénegas","","","25.5"
"Escobedo","","","35.2"
"Francisco I. Madero","","","22.9"
"Frontera","","","19.8"
"General Cepeda","","","27.6"
"Guerrero","","","19.4"
"Hidalgo","","","40.7"
"Jiménez","","","17.5"
"Juárez","","","25.3"
"Lamadrid","","","13"
"Matamoros","","","25.1"
"Monclova","","","16.8"
"Morelos","","","16.2"
"Múzquiz","","","23.8"
"Nadadores","","","15.8"
"Nava","","","23"
"Ocampo","","","25.5"
"Parras","","","25.9"
"Piedras Negras","","","18.5"
"Progreso","","","20.1"
"Ramos Arizpe","","","24.1"
"Sabinas","","","17.9"
"Sacramento","","","12.5"
"Saltillo","","","21.3"
"San Buenaventura","","","18"
"San Juan de Sabinas","","","15"
"San Pedro","","","25.3"
"Sierra Mojada","","","27.4"
"Torreón","","","17.8"
"Viesca","","","39.5"
"Villa Unión","","","18.4"
"Zaragoza","","","21.3"
"Colima","25.4","22.3","19.9"
"Armería","","","17.1"
"Colima","","","17.5"
"Comala","","","15.4"
"Coquimatlán","","","18.2"
"Cuauhtémoc","","","20"
"Ixtlahuacán","","","22.7"
"Manzanillo","","","23.8"
"Minatitlán","","","26"
"Tecomán","","","23.6"
"Villa de Álvarez","","","15.3"
"Chiapas","27.5","24.7","30.3"
"Acacoyagua","","","27"
"Acala","","","37.1"
"Acapetahua","","","27"
"Altamirano","","","18.9"
