"","3.1.2.Proporción de partos con asistencia de personal sanitario especializado","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","98","98.2","96.3","96.1","96","95.3","94.5","93.6","93.3","92.7","91.7","91.1","90.3","89.6","88.9","88","87.1","86.4","85.5","84.5","83.2","81.8","81.4","79.9","78.8","77.8","76.7"
"Aguascalientes","99.6","99.7","99.7","99.6","99.6","99.5","99.6","99.2","99","99.1","99.2","99","98.7","98.4","98.2","96.8","97.1","98","97.9","97.9","97.7","96.3","95.2","94.1","93.2","92.8","91.5"
"Baja California","99.8","99.7","93.8","99.7","99.7","99.6","99.8","99.5","99.6","99.6","99.6","98.6","99.5","99.4","99.3","99.3","98.8","98.9","98.3","98.6","98.7","98.4","97.2","97.8","98","98","97.8"
"Baja California Sur","98.9","99.3","98.6","98.8","99.6","99.1","99.9","99.7","99.6","99.8","99.7","99.7","99.7","99.7","99.6","99.5","98.7","99","99","99.2","99.1","98.6","95","89.8","92.4","94.3","93.6"
"Campeche","97.2","97.1","95.9","96.4","96.7","96.6","95.9","94.9","94","92.3","91.1","89.7","88.5","87.5","87.1","85.9","83.3","80.5","78.1","74.7","72.8","69.6","68.8","64.9","62.3","61.6","58.4"
"Coahuila de Zaragoza","99.9","99.8","99.7","96.5","98.9","99","99.5","99.3","99.6","99.7","99.8","99.7","99.5","99","99.1","99.2","99.1","98.9","98.8","98.4","98.2","97.9","97.2","97.9","97.3","97.6","97.4"
"Colima","99.9","99.9","99.8","99.8","99.7","99.8","99.8","99.8","99.8","99.6","99.3","99.3","99.2","98.7","98.8","98.2","97.6","98","97.8","97.6","96.9","96.9","96","95.3","95.5","94.5","91.9"
"Chiapas","89.7","91.7","75.8","72.9","70.6","66.1","52","50.3","51","42","39.5","39.2","38.2","35.9","33.8","31.8","31.2","33.2","34.2","33.2","32.3","32.4","33.2","29.9","27","23.6","22.4"
"Chihuahua","97.9","96.9","96.6","96.4","95.6","96.6","98.4","98.4","98.4","98.4","98.3","98.3","98.2","98.1","97.6","97.5","96.9","96.7","96.5","96.3","93.6","94.2","95.2","94.4","94.8","94.9","94.5"
"Ciudad de México","99.7","99.5","99.5","99.6","99.7","99.6","99.5","99.3","98.4","99.4","99.2","98.9","98.8","99.3","99.5","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.3","99.3","99.1","99"
"Durango","99.4","99.4","99.5","99.5","99.4","99.5","96.1","95.6","95.5","95.7","95","94.8","94.6","93.8","92.3","92.2","92.5","92.5","91.3","89.4","86.7","86.1","85.1","83.5","82.6","82.5","80.8"
"Guanajuato","99.2","99.2","99.1","98.9","98.9","98.7","98.9","98.6","98.4","98.1","97.3","96.6","95.9","95.6","94.7","94","93.1","92.2","90.7","90","88.5","86.7","84.4","82.3","81.2","78.6","75.7"
"Guerrero","95.8","96","85.4","85.1","83.8","77.9","81.3","79.6","78.5","76.8","74.6","72.2","70.6","68.6","66.6","65.3","64.4","60.3","59.8","59.5","56.9","52.4","50","47.5","48.2","48.6","49.1"
"Hidalgo","98.9","98.6","98.4","98.1","98","98.3","96.8","96.8","96.2","95.3","93.5","92.3","91.3","90.4","88.8","87.8","86.2","85.2","84.3","83.1","81.8","80.2","79.9","79","77.9","75.6","73.3"
"Jalisco","99.5","99.6","99.5","99.5","99.4","99.5","98.9","98.8","98.9","98.9","98.7","98.7","98.2","98.4","97.9","97.9","97.6","97.2","97","96.6","96.4","95.5","95.6","94.8","93.7","92","90.4"
"México","98.8","98.8","98.7","98.6","98.5","98.7","98.7","98.6","96","98.3","97.9","97.4","96.8","94.8","93.9","92.7","90.8","89","87.4","86.5","85.9","84.8","84.4","82.8","80.6","79.6","79.4"
"Michoacán de Ocampo","99","98.9","98.6","98.5","98.3","98.2","98","97.7","97.1","95.8","94.4","94.6","94.5","93.7","93.3","92.5","92.1","91.3","90","88.8","87.4","83","82.5","80.5","77.5","76.2","74.5"
"Morelos","98.8","98.8","98.5","97.9","97.6","96.8","96.5","96.2","95.9","95.1","93.8","93.5","92.6","92.3","91.5","90.7","89.8","88.8","87.4","86.8","85.7","84.4","83.3","81","78.5","76.4","76.1"
"Nayarit","99","99.2","99.1","99.1","99.3","99.3","96.9","96.9","96.7","96.1","95.4","94.6","95.2","95.3","94","93.4","92.4","91.5","91.5","91.8","90.4","90.4","88.8","83.4","81.1","77.2","77.9"
"Nuevo León","99.8","99.8","99.6","99.6","99.8","99.7","99.9","99.9","99.9","99.9","99.8","99.8","99.8","99.7","99.7","99.6","99.5","99.5","99.4","99.1","98.9","98.9","98.9","98.8","98.4","98.1","98.1"
"Oaxaca","97.9","97.1","88.9","87.2","85.9","82.1","86.6","83.6","80.3","76.1","73","70.4","68","66.1","64.5","61.6","58.8","56.1","54","50.8","49.3","47.2","46.7","46.3","45","44.6","43.3"
"Puebla","96.7","96.5","96.3","95.5","95.1","94.9","90.3","89.8","88.5","85.8","84.2","82.7","81.3","80.1","80.9","80.8","79","76.8","74.7","72.9","71.3","69.4","68.3","66.3","64.2","62.4","59.7"
"Querétaro","98.8","99.5","99.6","99.4","99.4","99","99.3","99.1","99","98.7","98.2","97.7","97.1","96.1","96.1","94.5","94.4","93.4","90.6","88.4","86.1","85.5","85.5","85.5","84.6","82.9","81.8"
"Quintana Roo","98","98","97.6","97.9","97.4","97.2","97.3","96.6","95.8","95.6","94.6","93.7","92.9","91.9","90.1","88.2","85.4","83.3","81.4","80.3","79.1","78.5","76.4","74.8","72","69.9","66.8"
"San Luis Potosí","95.3","96.6","96.8","97.4","98.2","98.3","96.7","95.3","95.7","94.5","93.3","91.7","90.4","88.9","87.9","86.8","84.9","83.5","81.7","79.8","77.5","76","75","72.4","71.2","68.9","68.1"
"Sinaloa","99.9","99.8","93.4","99.7","99.7","99.6","99.5","99.4","99.3","99.2","99","98.1","98.3","98.2","97.3","95.2","94.4","94.7","94","94.1","94.9","94.6","92.5","91.5","91.1","91.4","90.2"
"Sonora","99.6","99.7","99.5","99.4","99.6","99.5","99.8","99.7","99.7","99.7","99.5","99.4","99.3","99.3","99.1","98.6","97","96","96.5","96.3","96","96","96.5","96.4","95.8","96","96.8"
"Tabasco","95.7","95.6","95.5","95","94.9","94.6","94.5","94.2","92.6","89.1","85.6","84.8","82","78.6","76.3","74.5","72.5","71","68","66.5","64","61","59.3","57.5","56.9","55.6","55.6"
"Tamaulipas","99.8","99.7","99.7","99.6","99.7","99.7","99.8","99.8","99.7","99.6","99.5","99.3","99.3","99.1","99","98.6","97.7","97.9","97.4","97.5","97.3","96.7","96","95.2","94.8","94.3","93.3"
"Tlaxcala","99.5","99.5","99.3","99.3","99","99","98.7","98.6","98.3","97.4","97","95.9","95.6","94.8","94.7","93.6","93.3","91.3","90.4","89.4","85.9","85","84.4","82.9","82.5","82.3","80.2"
"Veracruz de Ignacio de la Llave","95.1","96.1","95.5","94.6","94.5","94.4","92.9","90.9","90.1","87.2","84.2","81.6","79.7","77.9","77.2","75.5","74.3","72.9","71.4","68.9","66.9","65.7","65.6","64.3","63.2","61.8","60.9"
"Yucatán","98.6","98.5","98.2","97.8","97.9","97.1","97","96.3","95.6","95.2","94.4","94","92.5","91.7","90.8","89.8","87.3","85.9","84.2","82","80.2","78.3","73.9","68.1","67.4","67.4","63.6"
"Zacatecas","99.6","99.7","99.4","99.7","99.2","99.4","98.7","98.5","98.3","97.8","97","96.6","96","95.4","94.4","93.3","92","91.4","90.1","88.8","87.7","85.4","83.2","80.7","77.6","75.1","68.3"
