"","3.2.1.Tasa de mortalidad de niños menores de 5 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","15.1","15.1","15.7","16.1","16.7","17.2","17.8","18.4","19.1","19.8","20.5","21.2","22.1","23","24","25","26.1","27.3","28.6","29.9","31.3","32.9","34.7","36.6","38.7","41"
"Aguascalientes","10.4","11.8","11","13","11.7","13.5","14","14.5","15","15.6","16.1","16.6","17.3","18","18.9","19.8","20.7","21.7","22.8","23.9","25","26.5","28","29.6","31.4","33.3"
"Baja California","16.7","16.9","17.6","17.6","18.1","19.1","19.6","20.1","20.6","21.2","21.7","22.3","23.1","23.9","24.7","25.7","26.7","27.7","28.7","30.3","31.6","33.3","35.3","37.7","40.4","43.4"
"Baja California Sur","13.5","12.1","13.2","12.5","11.6","14.9","15","15.5","15.8","16.2","16.8","17.1","17.6","18.2","18.7","19.2","19.8","20.5","21.1","22","22.9","23.8","24.7","26","27.2","29.1"
"Campeche","17.8","14","16.8","18.9","17.2","14.8","15.3","15.8","16.3","16.9","17.4","18.1","18.7","19.4","20.2","21","22","22.8","23.8","25","26.2","27.6","28.9","30.4","32.1","34"
"Coahuila de Zaragoza","14","16.1","13.6","14.8","11.8","12.5","12.8","13.2","13.6","14","14.5","15.1","15.6","16.3","16.9","17.7","18.5","19.5","20.5","21.6","23","24.4","26.2","28.3","30.7","33.6"
"Colima","11.7","10.9","13","13.1","13.9","13.6","14.2","14.6","14.9","15.4","16","16.7","17.2","17.9","18.7","19.4","20.3","21.3","22.5","23.6","25","26.2","27.9","29.7","31.8","33.8"
"Chiapas","18.5","17.9","19.2","19.5","21","22.4","23.4","24.3","25.4","26.5","27.7","28.9","30.2","31.7","33.2","34.9","36.6","38.5","40.5","42.7","45.2","47.9","50.9","54.3","58","62"
"Chihuahua","17","16.7","18.7","17.4","19.1","19.8","20.3","20.8","21.3","21.9","22.4","22.9","23.7","24.3","25.1","25.9","26.8","27.9","29","30.3","31.8","33.6","35.9","38.7","42.1","46.1"
"Ciudad de México","14.2","13.5","14.9","15.3","16.4","13.8","14.2","14.5","14.9","15.3","15.8","16.2","16.7","17.2","17.8","18.3","19","19.6","20.3","21","21.7","22.5","23.4","24.3","25.2","26.2"
"Durango","16.5","16.3","15.3","15.1","17.1","14.7","15.3","15.8","16.4","17","17.6","18.3","19.1","19.8","20.7","21.6","22.7","23.7","24.8","26","27.3","28.8","30.4","32.1","34.1","36.4"
"Guanajuato","13","13.7","13.3","13.4","13.8","16.1","16.8","17.4","18.1","18.9","19.7","20.4","21.3","22.3","23.5","24.7","25.9","27.3","28.7","30.3","32","33.9","36","38.3","41.1","44.1"
"Guerrero","17.7","17.7","19.4","19.4","21.3","21.5","22.4","23.3","24.2","25.1","26.1","27.1","28.2","29.4","30.6","32","33.3","34.8","36.3","37.9","39.5","41.2","43.2","45.2","47.3","49.6"
"Hidalgo","15.9","17","16.9","17.7","18.5","19.2","19.9","20.6","21.4","22.2","23","23.8","24.7","25.7","26.8","27.9","29.2","30.6","31.9","33.4","34.8","36.4","38.2","40.1","42.1","44.3"
"Jalisco","12.9","13","12.9","13.5","14.6","14.4","14.9","15.3","15.8","16.4","17","17.6","18.3","19","19.9","20.7","21.7","22.7","23.8","24.9","26.1","27.5","28.9","30.5","32.2","34.1"
"México","16.3","16.3","17.2","17.2","18.8","19.1","19.7","20.3","20.9","21.6","22.4","23.1","23.9","24.8","25.7","26.7","27.7","28.8","30","31.3","32.7","34.2","36","38.1","40.3","43"
"Michoacán de Ocampo","14.7","14.1","14","14.4","14.1","17.1","17.7","18.3","19","19.7","20.5","21.1","22","22.9","23.9","25","26.1","27.3","28.5","29.7","31","32.5","34.1","35.8","37.7","39.8"
"Morelos","13.9","14.1","14.4","14.7","15.7","15.1","15.5","16.1","16.6","17.1","17.6","18.1","18.8","19.5","20.3","21.1","21.9","22.8","23.7","24.6","25.7","26.8","27.9","29.2","30.6","32.3"
"Nayarit","12.3","14.1","13.8","13.8","14.6","14.8","15.3","15.7","16.2","16.8","17.5","18.1","18.7","19.5","20.3","21.2","22","23","24.1","25.2","26.3","27.5","28.9","30.3","31.9","33.5"
"Nuevo León","11.1","11.8","11.4","11.8","11","11.3","11.6","11.9","12.2","12.6","12.9","13.4","13.8","14.3","14.9","15.5","16.2","17","17.8","18.8","19.8","21","22.3","23.9","25.5","27.5"
"Oaxaca","18","18.5","19.3","20.5","21.5","22.2","23.2","24.1","25.1","26.2","27.3","28.4","29.7","31.1","32.7","34.3","36","37.9","39.9","42","44.3","46.8","49.6","52.5","55.7","59.6"
"Puebla","17.2","17.4","18.6","19.7","21.6","21.4","22.3","23.2","24.2","25.2","26.2","27.2","28.4","29.6","31","32.4","33.9","35.5","37.2","39.1","40.9","42.8","45","47.4","50","52.7"
"Querétaro","12.8","12.4","14","14","13.6","15.8","16.4","17","17.6","18.2","18.9","19.6","20.5","21.4","22.4","23.5","24.7","25.9","27.2","28.6","30.1","31.8","33.5","35.3","37.3","39.3"
"Quintana Roo","13.7","13.7","13.4","13.7","15.2","15.8","16.1","16.6","17","17.5","18.2","18.8","19.5","20.2","20.8","21.6","22.4","23.4","24.4","25.4","26.4","27.6","28.8","30.2","31.6","33.3"
