"","3.2.3.Tasa de mortalidad infantil","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","12.5","12.5","13","13.3","13.7","14.1","14.6","15.1","15.7","16.3","16.9","17.6","18.3","19.1","20","20.8","21.8","22.8","23.8","24.9","26","27.2","28.4","29.7","31.1","32.5"
"Aguascalientes","8.7","10.4","9.4","10.2","9.9","11.3","11.7","12.1","12.6","13.1","13.6","14.2","14.8","15.5","16.2","17.1","17.9","18.8","19.8","20.9","22","23.2","24.5","25.9","27.5","29"
"Baja California","13.8","13.6","14.3","14","14.5","15.1","15.5","15.9","16.3","16.8","17.2","17.7","18.2","18.8","19.3","19.9","20.5","21.1","21.7","22.4","23.1","23.8","24.6","25.3","26.1","27"
"Baja California Sur","11.2","10.7","11.2","10.4","9.7","12.3","12.8","13","13.4","13.8","14.2","14.6","15.1","15.6","16.1","16.6","17.2","17.8","18.4","19.1","19.8","20.5","21.3","22.2","23.1","23.9"
"Campeche","15.5","12","14.7","16.4","15","12.2","12.5","13","13.4","13.9","14.4","15","15.5","16.2","16.9","17.6","18.4","19.2","20","21","21.9","23","24.1","25.2","26.4","27.7"
"Coahuila de Zaragoza","12.3","14","11.9","12.8","9.5","10","10.3","10.6","11","11.4","11.8","12.2","12.8","13.3","13.9","14.6","15.3","16.1","17","17.9","18.9","20","21.2","22.4","23.8","25.2"
"Colima","9.9","9.3","10.8","10.9","12.2","11.8","12.1","12.5","12.9","13.3","13.9","14.3","14.9","15.5","16","16.8","17.5","18.3","19.1","19.8","20.7","21.7","22.8","23.8","25","26.1"
"Chiapas","13.5","13.1","13.6","13.6","14.8","15.9","16.7","17.6","18.5","19.4","20.5","21.6","22.7","24","25.4","26.8","28.4","30","31.7","33.5","35.3","37.3","39.4","41.5","43.6","45.9"
"Chihuahua","13.6","13.7","15","13.4","14.7","15.2","15.6","16","16.5","16.9","17.4","17.9","18.4","19","19.5","20.2","20.8","21.4","22.1","22.8","23.5","24.2","25","25.8","26.7","27.6"
"Ciudad de México","12.5","11.6","13","13.4","14.3","12","12.3","12.6","12.9","13.3","13.6","14","14.4","14.9","15.3","15.8","16.3","16.9","17.4","18","18.6","19.3","20","20.7","21.5","22.3"
"Durango","14","13.8","13.4","13.2","14.3","12.9","13.4","13.8","14.4","14.9","15.6","16.2","16.9","17.7","18.5","19.4","20.3","21.3","22.3","23.4","24.5","25.7","27","28.4","29.9","31.4"
"Guanajuato","10.8","11.9","11.2","11.5","11.7","13.6","14.2","14.8","15.4","16.1","16.8","17.5","18.3","19.2","20.2","21.3","22.4","23.6","24.8","26.1","27.4","28.9","30.5","32.1","33.8","35.6"
"Guerrero","13.6","13.8","14.7","15.1","16.4","16.5","17.3","18","18.8","19.7","20.6","21.5","22.5","23.6","24.8","26.1","27.3","28.7","30.1","31.6","33.1","34.7","36.5","38.2","40.1","41.9"
"Hidalgo","13.1","13.7","13.6","14.4","15","15.5","16.1","16.7","17.3","18","18.8","19.5","20.3","21.2","22.1","23.1","24.1","25.2","26.4","27.5","28.7","30","31.4","32.8","34.3","35.8"
"Jalisco","10.6","11","10.8","11.4","12.5","12","12.4","12.8","13.2","13.7","14.2","14.7","15.3","15.9","16.6","17.3","18","18.9","19.7","20.6","21.5","22.5","23.6","24.7","25.9","27.2"
"México","14.3","14","15.1","15.2","16.2","16.6","17.1","17.7","18.3","18.9","19.5","20.2","20.9","21.7","22.5","23.3","24.2","25.1","26","27","28","29.1","30.2","31.3","32.5","33.7"
"Michoacán de Ocampo","12.4","11.8","11.7","12.2","11.8","14","14.6","15.1","15.7","16.3","16.9","17.6","18.3","19.1","20","20.9","21.9","22.9","24","25","26.1","27.4","28.7","30.1","31.5","33"
"Morelos","11.7","12.3","12.3","12.2","12.9","12.9","13.3","13.7","14.1","14.6","15.1","15.6","16.2","16.8","17.4","18.1","18.8","19.6","20.3","21.1","22","22.9","23.8","24.9","26","27.1"
"Nayarit","9.9","11","10.1","10.6","11.6","12","12.4","12.8","13.2","13.8","14.3","14.9","15.5","16.2","16.9","17.7","18.5","19.4","20.3","21.2","22.3","23.4","24.5","25.8","27.2","28.6"
"Nuevo León","9.9","10.2","9.8","10.2","9.3","9.7","10","10.2","10.5","10.8","11.2","11.5","11.9","12.4","12.8","13.4","13.9","14.5","15.1","15.8","16.5","17.3","18.2","19.1","20.1","21.2"
"Oaxaca","12.9","13.5","13.7","14.8","15.2","15.8","16.6","17.4","18.2","19.1","20.1","21.1","22.2","23.4","24.7","26","27.5","29","30.6","32.3","34.1","35.9","37.9","39.9","41.9","44"
"Puebla","14.3","14.8","15.6","16.7","18.1","18.2","19","19.8","20.7","21.6","22.5","23.5","24.6","25.7","26.9","28.2","29.5","30.9","32.3","33.8","35.3","37","38.6","40.4","42.1","43.9"
"Querétaro","11","10.5","11.9","12.2","11.6","13.2","13.8","14.3","14.9","15.4","16.1","16.7","17.5","18.2","19.1","20","21","22","23.1","24.2","25.4","26.7","28.1","29.5","31","32.5"
"Quintana Roo","11.6","11.8","11.3","11.7","12.9","13.4","13.8","14.3","14.7","15.2","15.7","16.2","16.8","17.3","18","18.6","19.3","20.1","20.8","21.6","22.5","23.3","24.2","25.2","26.2","27.4"
"San Luis Potosí","12.1","12.5","13.1","12.8","14","14.1","14.7","15.2","15.8","16.4","17","17.7","18.4","19.2","20","20.9","21.8","22.8","23.8","24.8","25.9","27.1","28.4","29.7","31","32.4"
"Sinaloa","9.8","8.5","9.9","10","11.5","10.6","10.9","11.3","11.6","12","12.4","12.9","13.4","13.9","14.5","15.1","15.8","16.5","17.3","18.1","18.9","19.9","20.9","22","23.2","24.4"
"Sonora","10.1","9.7","10.7","13.2","11","12.3","12.6","13","13.3","13.7","14.2","14.6","15.1","15.6","16.1","16.7","17.3","17.9","18.6","19.3","20","20.8","21.6","22.5","23.3","24.3"
"Tabasco","14.7","14.5","13.3","14.1","14.4","12.7","13.2","13.7","14.2","14.8","15.4","16","16.7","17.5","18.3","19.1","20","21","22","23.1","24.2","25.4","26.7","28.1","29.5","31"
"Tamaulipas","12.4","12.5","13.3","12.3","11.8","12.7","13.1","13.5","14","14.4","14.9","15.4","16","16.6","17.2","17.9","18.6","19.4","20.1","21","21.8","22.7","23.7","24.7","25.8","26.9"
"Tlaxcala","13.4","12.6","13.9","14.9","14","16.7","17.4","18.2","19","19.8","20.7","21.6","22.7","23.8","24.9","26.2","27.4","28.8","30.2","31.7","33.2","34.8","36.5","38.2","40.1","41.8"
"Veracruz de Ignacio de la Llave","12.6","12.8","14.4","14","14","14.4","15","15.6","16.2","16.9","17.7","18.4","19.3","20.1","21.1","22.1","23.2","24.3","25.5","26.8","28.1","29.4","30.9","32.4","34","35.7"
"Yucatán","11.5","11","10.8","11.4","10.2","12.1","12.5","12.9","13.3","13.7","14.1","14.6","15.1","15.7","16.2","16.8","17.5","18.2","18.9","19.6","20.4","21.3","22.2","23.1","24.1","25.1"
"Zacatecas","11.7","11.3","11","11.2","11.2","12.1","12.6","13.1","13.7","14.2","14.9","15.5","16.3","17.1","18","18.9","19.9","21.1","22.2","23.4","24.6","26","27.6","29.2","30.9","32.7"
