"","3.2.4.Proporción de niños de un año de edad con esquema básico completo de vacunación","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993"
"Estados Unidos Mexicanos","96.7","91.8","85.3","86.5","82.1","80.7","77.8","71.3","69.9","71.1","73.3","75.7","73.5","74.9","78.5","75.3","73.6","73.9","89.3","91.2","87","87","69.2"
"Aguascalientes","113.6","94.4","98.4","90.4","82.4","83.3","94.9","97.9","96.1","81.7","81.6","91.8","91.8","90.7","77.3","81.9","86.1","81.8","94.7","97.9","92.8","91.3","89.9"
"Baja California","94","87.1","72.6","94.7","92.7","81.8","86.5","74","73.1","77.5","77.5","82.1","90.5","85.8","94.6","80","71.1","73.9","73.9","84.3","91.1","87.4","84.2"
"Baja California Sur","95.2","90.6","97.4","82","69.1","68.6","75.8","71.1","72.1","74.8","78.1","79","76.2","69.1","74.3","75.8","77.7","87.1","80.8","90.9","90.8","91.7","82.6"
"Campeche","104.1","95.5","99","86.3","82.4","77.7","68.7","86.9","88.9","92.1","94.4","91.2","89.7","86.7","90.3","82.5","84.9","89","99.7","99.7","99.6","99.2","85.7"
"Coahuila de Zaragoza","111.6","95.3","84.3","86.1","82.1","81.6","85","71.6","62.5","62.3","62.1","65.9","67.1","73.6","75.3","73.3","73","71.3","93","93.1","78.7","74.8","60.6"
"Colima","86.5","90.5","99.3","84.5","77.6","67.6","75.9","112.3","72.5","74.4","77.3","78.1","76.8","73.2","83","80.1","81.9","69.1","93.9","94.9","96.7","98.4","91.1"
"Chiapas","82.2","89.2","86.7","85.4","80.4","78.9","72.8","68.7","66.7","60.4","66.1","63.4","65.5","67.8","73.1","62.2","59.7","60.8","82.1","76.1","71.4","71.2","69.2"
"Chihuahua","96.5","91.4","76.1","83.2","81.8","80.5","77.5","88.2","40.1","72","73","74.2","68.1","64.4","70.2","62.3","67.4","70.9","85.9","88.9","91.7","89.3","81.1"
"Ciudad de México","101.5","96","99.5","94.9","93.4","90.8","79.4","53.7","60","61.3","59.9","50","47.4","35","42.7","49.8","47.1","35.6","76.2","78.3","56.2","77",""
"Durango","106","93.7","91.6","84.2","80.4","79.9","79.6","75.1","73.6","77.4","80.2","79.9","75.8","80.5","82.7","76.1","81.9","77.9","89.8","91.4","92.5","88.6","75.8"
"Guanajuato","113.6","99.3","95.3","88.4","80.9","79.3","82.8","93.1","90.1","88.8","95.2","93.3","92.3","90.6","92.9","87","78.9","77.1","87.9","87.3","82.1","84.8","80.7"
"Guerrero","100.6","94.4","63.5","84.7","76.1","70.7","66.9","82.2","89.7","87.2","92.2","93.4","91.1","89.5","96.3","84.9","77.1","81.3","95.8","96.6","93.9","93.3","83.6"
"Hidalgo","109.4","90","74.2","84.5","77.1","76.9","71","78.4","83.3","77.5","79.8","79.3","81.5","80","82.7","78.1","75.2","76.6","97.4","98.6","96.9","92.6","81.1"
