"","3.2.5.Tasa de mortalidad en niños menores de 5 años por enfermedades diarreicas (defunciones por cada 100 mil menores de 5 años)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","7.3","7.8","9.4","8.5","8.9","9","10.5","13.4","16.6","17.4","21","20.8","24.5","25.1","27.4","29.6","32.2","38","43.1","49.6","56.4","66.8","86.3","95.7","135.7","145.9"
"Aguascalientes","2.4","2.4","4.7","7.1","1.6","6.3","3.1","8.5","6.2","9.3","5.4","8.5","13.1","11.6","10.8","17.8","15.5","22.5","23.4","22","30.8","36","45.3","48.5","74.5","81.7"
"Baja California","3.7","3.4","4.7","6.4","3.7","3","5.3","3.4","5.7","6.8","5.8","11.6","11.3","10.3","10.6","17.8","15.5","18.1","31.9","34.3","39.3","38.5","42.4","55.5","58.7","83.4"
"Baja California Sur","0","1.5","7.5","4.6","3.1","6.4","6.5","10","1.7","8.7","8.9","5.5","14.8","7.6","15.4","19.5","17.7","15.9","14.1","14.3","22.8","12.6","51.5","32.7","44.3","60.5"
"Campeche","10.7","2.4","6","9.7","3.7","4.9","6.2","3.7","20.1","13.9","10.1","12.7","11.4","13.9","13.8","19.9","17.2","24.4","24.3","30.3","62","46.6","84.6","91.4","157","144.2"
"Coahuila de Zaragoza","0","3.4","4.1","3.3","3","4.4","1.8","7","5.9","5.5","8.7","9.4","6.9","14","15.5","11.2","11.9","18.4","12.7","29.1","27.9","30","40.1","34.6","39.8","62.6"
"Colima","7.9","4.8","6.4","1.6","0","0","4.8","1.6","14.9","10","11.8","10.2","12","12","15.4","8.5","23.6","9.9","32.7","25.9","41.8","33.6","60.7","64","86.9","102.4"
"Chiapas","36.8","32.9","32.5","35.5","33.4","33.2","48.1","45.2","59.6","69.8","73.2","67.6","83","78.3","93.2","87.2","84.5","126.2","158.5","152.2","164.1","197.6","249.7","310.5","462.6","373.9"
"Chihuahua","9.7","7.3","12.2","9.8","10.3","10.8","6.8","12.5","14.3","13.2","17.4","15.2","15.6","12.4","19.6","23.4","30.5","27.8","35.3","36.9","42.2","48.1","36.6","38.2","52.3","110.8"
"Ciudad de México","2.9","4.4","6.9","4.9","5","3.9","6.9","5.1","7.4","7","9.6","8.4","8.5","9.1","8.2","12.7","13.2","9","13.9","19.2","18","23","25.7","26.7","34.7","50.7"
"Durango","6.1","8.5","7.8","4.2","7.2","7.1","4.7","7.6","7.6","5.8","7.4","9.6","13.4","5.5","9.3","26.5","24.1","29.2","22.2","42.7","27.9","45.9","57.2","46.3","82.5","103.5"
