"","3.2.6.Tasa de mortalidad en niños menores de 5 años por enfermedades respiratorias agudas (defunciones por cada 100 mil menores de 5 años)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","16.5","19","20.7","20","22.7","22.9","23.9","24.6","26.7","31.5","33.7","38.3","36.5","41.4","40.2","45.8","54.3","61.1","78.1","86.4","92.1","102","96.9","108.5","112.8","124.5"
"Aguascalientes","3.2","9.5","11","5.5","8.6","3.9","9.4","15.5","7","15.4","11.5","9.2","11.6","10.8","7.7","14.7","17.1","18.6","35.1","19.6","51.4","44","45.3","38.6","62.7","64.7"
"Baja California","10.7","18.8","15.4","13.4","13.8","14.3","15.7","15.8","17.2","21.1","23.9","29.1","23.6","27.4","39","48.4","59","51.9","60.9","60","71.9","73.9","80.5","70","85.9","105.3"
"Baja California Sur","2.9","10.3","13.5","10.7","7.8","3.2","11.4","11.7","13.7","24.5","12.5","18.2","22.3","13.2","30.7","29.2","19.7","17.9","34.3","24.5","18.6","37.9","19.3","13.1","28.8","35.9"
"Campeche","10.7","15.6","15.7","10.9","15.8","14.7","16.1","11.2","11.3","11.3","13.9","13.9","22.8","27.7","2.5","23.6","29.5","22","41.3","48.5","43.8","56.4","47.3","48.2","59.7","67.5"
"Coahuila de Zaragoza","4.9","10.1","11.6","5.6","8.5","7","8.5","11.8","9.2","16.4","17.8","15.9","15.5","14","21.2","19.8","23.1","24.5","43.4","49.1","42.9","46.7","53.2","57.4","77.2","77.7"
"Colima","7.9","7.9","1.6","14.4","4.8","12.9","14.5","14.7","5","6.7","13.5","10.2","5.1","15.4","10.3","3.4","13.5","18.2","18","34","38.5","41.6","41.5","33.6","30.6","43.9"
"Chiapas","52.2","47","38","42","36.3","40.8","47.4","47.3","48.9","55","61.2","84.9","71.7","72.8","64.4","95.1","78.6","127.7","129.6","134.2","151","167.6","168.3","157","150.8","155.2"
"Chihuahua","16.8","24.1","25.4","19.7","21.8","19.3","20.9","26.5","30.3","25.6","38.5","38.2","24.9","28.7","45.8","25.8","46.9","55.8","75.6","61.3","81","89.2","86.4","96.6","95.4","94.7"
"Ciudad de México","19.7","31.5","33.2","30","27.9","25.2","26.4","25.3","33.1","34.3","31.5","29.8","28.3","34.5","30.9","33.3","38.3","41.5","55.3","58.2","64.8","61.1","63","69.3","75.3","86.3"
"Durango","12.2","10.9","10.2","10.2","6.6","11.8","10.6","14","7.6","11.5","11.4","23.7","6.1","14.9","37.6","21.6","40.8","51.6","49.2","77","85.4","59.7","71","74","99.7","112.6"
"Guanajuato","12","13.3","10.8","9","12.7","9.6","11.3","17","17.4","22.6","21.2","22.7","28.9","38","28.3","39.9","52.3","58.8","86","96.5","100.4","111","119","140.6","146.8","162.4"
