"","3.3.11.Proporción de tratamientos otorgados a casos confirmados de paludismo, para la prevención, control y eliminación de la transmisión del Plasmodium Vivax","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","90","79","76"
"Aguascalientes","","","","","","","","","","","","","","","","","","","","100","","","","","","100"
"Baja California","","","","","","","","","","","","","","","","","","","","","","","","","","100"
"Baja California Sur","","","","","","","","","","","","","","","","","","","","100","100","100","100","89.3","100","100"
"Campeche","100","100","","","","100","","","","","100","100","100","100","100","100","100","100","100","100","100","100","94.9","91","76","74"
"Coahuila de Zaragoza","","","","","","","","","","","","","","","","","","","","","100","","100","","",""
"Colima","","","","","","","","","","","","","","","100","","100","","100","100","100","100","100","87.5","100","100"
"Chiapas","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","89","76","74"
"Chihuahua","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95.1","90","76","73.9"
"Ciudad de México","","","","","","","","","","","","","","","","","","","100","100","","","","","",""
"Durango","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","93.8","90.2","76","76"
"Guanajuato","","","","","","","","","","","","","","","","","","","","100","","","","100","100","100"
"Guerrero","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","95","90","76","74"
"Hidalgo","","","","","","","","","","","","","","","","","100","100","100","100","100","100","94.9","90","100","100"
"Jalisco","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","94.8","100","100","100"
"México","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100"
"Michoacán de Ocampo","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","94.9","89","76","74"
"Morelos","","","","","","","","","","","","","100","","","","100","100","","100","100","","100","100","100","100"
"Nayarit","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","89","76","74"
"Nuevo León","","","","","","","","","","","","","","","","","100","100","100","","","100","100","100","100","100"
"Oaxaca","100","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","89","76","74"
"Puebla","","","","","","","","","","","","","","","100","100","","100","100","100","100","100","95.7","100","100","100"
"Querétaro","","","","","","","","","","","","","","","","","","","100","100","100","","","100","100","100"
"Quintana Roo","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","94.8","100","100","74"
"San Luis Potosí","","","","","","","","","","","","","","","","","","100","100","100","100","100","95.2","100","100","100"
"Sinaloa","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","90","76","73"
"Sonora","100","100","","","100","100","100","100","100","100","100","100","100","100","100","100","","100","100","100","100","100","95","91","76.1","76.1"
"Tabasco","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","90","75.9","74"
"Tamaulipas","","","","","","","","","","","","","","","","","","","100","","","100","100","100","100","100"
"Tlaxcala","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Veracruz de Ignacio de la Llave","","","","","","","","","","","100","","100","100","100","100","100","100","100","100","100","100","94.9","90","97","100"
"Yucatán","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","94.4","100","100","100"
"Zacatecas","","","","","","","","","","","","","","","","","","","","","","","90.9","100","89.4","100"
