"","3.3.12.Proporción de casos nuevos de tuberculosis pulmonar que curan al terminar el tratamiento","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Estados Unidos Mexicanos","86.5","87.2","87.2","87.1","86.5","86.1","85.3","85.3","83.6","79.7","77.5","78.9","79.3","75.7","74.8","70.7"
"Aguascalientes","83.8","88.5","83.8","83.3","75","84.9","72.2","80.6","82.9","81.3","56.7","98","90.3","82.8","69","75.5"
"Baja California","71.7","71.3","75.5","72.7","71.3","74.7","71.9","72.2","70.8","72.1","71.5","63.5","63.1","55.9","65.6","55.4"
"Baja California Sur","79.6","83.1","85","86.2","78.9","77.1","79.1","79.1","79.6","75.6","72.2","71","77","76.5","65.9","78"
"Campeche","88.4","84.3","92","94.2","92.8","92.1","86.8","90.6","78.9","63.3","84.5","80","91.5","86.1","68.2","76.9"
"Coahuila de Zaragoza","85.6","86.5","90.6","87","93","88.3","89.3","88.2","81.7","66","75.8","85.6","82.5","82.4","66.5","57.1"
"Colima","83.5","88.9","84.3","83.5","95.8","96.7","88.6","81.4","75.3","82.7","80.3","81.1","79.4","74.7","73.3","75.5"
"Chiapas","90.3","88.4","89","90.6","90.5","89.1","90","88.5","85.2","84.1","56.6","73.9","74.3","79.5","73.4","62"
"Chihuahua","80.7","79.4","76.8","80.5","83.9","77.3","79.4","77.4","76.6","69.2","77.7","74.2","75.7","66.7","79.1","68.9"
"Ciudad de México","96.7","95.2","96.4","94.4","93.9","96","94.5","95.2","95.5","89","82.3","75.3","75.8","76.5","79.8","79.3"
"Durango","94.9","97.5","93.6","95.2","94.2","96.4","94.1","94.3","89.5","88","88.8","78.5","80.9","88","81.6","75.1"
"Guanajuato","97.3","95.6","98","92.7","97.3","96.3","99.1","97.7","93.7","92.5","94.4","87.1","80.9","60","69.7","36.3"
"Guerrero","90.5","87.9","90.1","89.9","88.7","90","86.4","88.4","85.1","67.9","78.5","83.6","79.4","79.5","73.6","67.1"
"Hidalgo","95.8","97.1","94","96.3","93.9","95.2","89.4","88.8","86.2","82.2","85.9","79.1","87.1","83.5","77.5","79.7"
"Jalisco","90","95.4","91.8","91.8","91.4","94.6","90","88.1","89.9","82.5","84.9","80","84.8","73.8","77.2","79.4"
"México","89.3","91.1","86.4","90.5","89.1","87.7","87.4","86","85.2","81","77.8","89.1","88.9","71.9","64.7","74.5"
"Michoacán de Ocampo","83.7","88.1","80.1","87.7","82.6","84.9","79.5","82.9","83.7","81.2","78.7","77","83.5","73.5","78.6","79.8"
"Morelos","85.1","85","88.8","86.8","79.5","85","85.3","79.5","86.5","87.2","70","86.7","88.8","83.7","75.8","78.3"
"Nayarit","88.8","92.9","90.4","92.6","87.3","88.1","89.8","89.4","89.3","86","54.8","92.9","87.7","88.2","79.9","97.9"
"Nuevo León","87.5","86.1","87.7","87.7","87.7","85.4","87.9","86.5","85","78.3","72.5","73.5","72.5","70.3","61.8","79.7"
"Oaxaca","90.7","92","90.3","89.7","84.7","81.9","79.4","84.2","80.2","71.4","70.9","76","86.8","72.6","69","71.1"
"Puebla","89.8","89.9","90.7","88.4","90.3","88.4","89.7","88.8","86","81.4","89.1","82.4","82.2","75.1","79.4","79.5"
"Querétaro","88.2","83.8","85","78.6","81.6","94.1","91.9","86.1","87","71.7","94.8","87.8","85.8","89.6","84.2","86.3"
"Quintana Roo","85.3","89","83.7","85.8","81.7","82","82.6","85.8","64.1","88.6","67.1","73.9","70.6","56.7","46.7","73.9"
"San Luis Potosí","88.2","90.4","93.1","89.3","90.3","89.7","93.2","88.5","88.6","84.7","76.5","78.9","86.6","80.7","74.6","79.9"
"Sinaloa","82.9","86.1","87.7","89.7","85.6","86.7","85.3","81.3","81","81.2","84.2","79.5","80.8","77.7","70.7","71.1"
"Sonora","78.3","79.3","77.5","77.5","81.2","78.6","82.4","82","79.6","78.6","78.3","71.8","68.8","66","65.7","55.2"
"Tabasco","87.2","89.9","86.8","86.2","85.3","82.3","81","82.6","77.8","73.7","79.1","84.2","82.9","82","85.8","91.2"
"Tamaulipas","89.9","93","90.1","87","89.2","86.4","86","84.9","81.4","83.1","81.8","80.1","82.5","76.7","80.9","73.8"
"Tlaxcala","100","100","100","100","97.6","92.3","91.7","85.4","83.3","72.2","84","88.5","78.3","70.8","84.4","66.7"
"Veracruz de Ignacio de la Llave","88.2","87.6","87.7","88.3","85.2","86.3","85.2","87.6","88.4","87.7","82.6","84.4","82.2","83.9","84.5","65.8"
"Yucatán","91.2","89.6","84.8","90.2","94.3","86","82.1","91.1","95.8","89.6","73.8","85","78.9","80.2","74.2","59.4"
"Zacatecas","78.8","77.8","85.1","88.4","89.6","84.1","85.5","86.4","86","84.8","87.8","84.9","78.5","73","71.6","61.5"
