"","3.3.3.Tasa de incidencia asociada al paludismo (por 100 mil habitantes)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","0.4","0.5","0.4","0.7","1","1.1","2.3","2.1","2.2","2.3","2.8","3.2","3.6","4.5","4.9","7.3","13.5","25.4","4.9","6.6","7.9","13.8","17.2","17.9","30","51.1"
"Aguascalientes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0.5"
"Baja California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1"
"Baja California Sur","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.7","0.3","2.4","15.4","0.9","5.6"
"Campeche","19.5","25.1","0","0","0","0.2","0","0","0","0","0.1","0.5","2.8","7.4","8","5.3","9.2","7.6","11.1","13.8","11.9","42.6","92.1","94.9","141.5","292.5"
"Coahuila de Zaragoza","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colima","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0.4","0","0.2","0.4","2.1","1.2","2.8","4.9","17.6","89.4"
"Chiapas","3.6","3.4","3","5","10.3","13.8","22.2","23.9","33","29.7","18.7","27","43","57.2","61.3","87.2","106.3","130.8","49.5","40.3","64.6","75.4","114.5","112","170.6","221"
"Chihuahua","0.6","0.5","0.9","4.4","8.3","4.5","12.6","5.4","4.6","3.8","5.5","5.7","8.6","13.9","13.3","23.6","19.3","11.5","9.2","11.2","14.5","26.4","15.9","14.6","23.1","34.4"
"Ciudad de México","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.2","1.4","3.9","7.3","4","3.1","2.5","2.3","2.8","8.4","7.3","3.5","5.4","6.8","9.1","11.4","11.9","3.6","3.7","9.2","9.9","15.3","14.7","17.2","19.6","32"
"Guanajuato","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5"
"Guerrero","0","0","0","0","0","0","0","0","0","0","0","0.1","0.2","0.7","2.7","5","6.9","4.4","4.4","2.3","6.1","12.4","10.3","20.8","44.2","177"
"Hidalgo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.2","1.1","6.8","3.6","5","14.6","40.5","38","16.2"
"Jalisco","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0.1","0.1","0.2","0.4","0.8","0.2","0.6","1","1.5","1.1","1.2","1.9","2.8","5.6","10.1"
"México","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.2","0.6"
"Michoacán de Ocampo","0","0","0","0","0","0","0","0","0","0","0","0.2","0.1","0.5","1.3","3.2","4.8","5.2","1.4","8.2","13.2","14.4","16","29.6","56.2","120"
"Morelos","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.1","0.1","0","0.1","0.1","0","0.4","0.9","2.9","16.9"
"Nayarit","3.4","3.8","10.7","10","11.5","6.7","6.9","6.7","3.7","2.4","3.7","2.7","5.3","9.5","16.6","23.3","23.3","18.4","28","42.6","41","30.3","40.7","69.9","98.5","149.8"
"Nuevo León","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0.1","0.1","0.1","0.1","0.3"
"Oaxaca","0","0","0","0.2","0.5","4.3","23.3","21.1","10","16.6","38.2","30.3","19.6","7","7.9","18.3","149.5","483.5","23.5","29.5","32.2","128.8","150.6","81.8","135.9","271.1"
"Puebla","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0.1","0.2","0.2","0.5","0.5","1.1","2.6","10.6"
"Querétaro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.3","1.4","0","0","0.2","0.9","3.1"
"Quintana Roo","2.7","0.9","0.7","1","0.4","0.6","0.3","1.2","1.1","1.8","1","4.1","8.1","27.2","24.4","35.9","69.9","6.8","12","17.9","32.6","81.9","36.9","36.1","74","274.2"
"San Luis Potosí","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","2.8","3.2","2.6","2.7","10.3","30.7","10.8"
"Sinaloa","0.9","4.4","2.9","5.2","2.2","2.1","2.6","2.7","4.1","3.8","7.7","19.9","15.3","25.5","24.2","31.2","42.7","30.8","29.8","62.6","53.8","76.2","92.7","120.2","236.2","315.5"
"Sonora","0","0.4","0","0","0.1","0.3","0.7","0.4","0.5","0.7","1.2","2","3.2","1.3","2.5","3.4","0","0.1","1.9","3.1","5.7","7.9","13.2","17.1","26.6","38.4"
"Tabasco","0.5","0.6","0.6","0.3","0.6","0.5","0.4","0.5","2.5","4.3","4.6","7.3","8.4","6.9","11.3","15.4","19.3","20.5","8","10.8","9.2","10.6","25.4","35.8","47.1","54.6"
"Tamaulipas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.3","0.1","0.6","0.4"
"Tlaxcala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz de Ignacio de la Llave","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.3","0.5","0.5","0.7","0.6","1.3","0.7","1.8","4","6.1","11.3","14.8"
"Yucatán","0","0","0","0","0","0","0","0","0","0","0.1","0.3","0.8","1.9","0.5","3","4.1","0.4","0.1","0.7","1.3","2.6","1.2","0.9","1.8","6.4"
"Zacatecas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","1.9","3.3","3.5"
