"","3.3.7.Proporción de niños de un año de edad vacunados contra el sarampión","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1990"
"Estados Unidos Mexicanos","100.9","97.8","88.7","86.8","82.6","82.7","84.6","72","70.9","72","74.2","76.5","74.3","76","79.8","76.5","75.2","75.5","87.8","89.5","86.6","87.9","71.8","73.8"
"Aguascalientes","118.1","98.5","92.6","91","84.1","84.5","95.6","98.9","96.5","81.8","82.9","92.7","93.2","92.8","79.1","83.7","87.2","82.4","88.6","90.6","86.9","84.7","83.6","70.1"
"Baja California","102.1","95.4","73.5","95.2","93.3","81.8","86.5","74.2","74.4","78.7","79","82.9","92.3","87.3","95.6","81","76","81.1","73.3","82.7","89.8","87.6","85.7","77"
"Baja California Sur","103.6","97","97","82.4","69.7","69.8","78","71.1","72.7","75.2","78.2","79.1","76.4","70.7","77","77.5","81.3","90.3","78.1","87.3","87.1","87.7","80.2","62.8"
"Campeche","100.5","98.1","98.4","87.1","85","81.5","68.7","86.9","88.9","92.1","94.4","91.2","89.7","86.7","90.3","82.5","84.9","89.1","96","95.6","95.1","94.8","90.8","79"
"Coahuila de Zaragoza","106.4","97.7","89","86.8","83.7","85.3","85","71.7","62.6","62.5","62.3","66.3","67.6","74","76","74.2","73.8","72.2","90.5","90.7","78.1","76.6","62.2","82.6"
"Colima","84.4","93.5","92.9","85.2","79.2","77.8","75.9","112.5","73.3","74.9","77.8","79","77.5","73.4","83.1","80.6","82.4","69.4","89.4","89.4","90.6","91.7","86.3","71.6"
"Chiapas","103.2","100.9","107.8","85.8","80.5","80.4","81.1","69","67.6","61.4","67.5","64.2","66.5","68.9","74.9","63","63.4","64.6","78.2","76.5","73.4","76.8","74.2","63.7"
"Chihuahua","103.1","93.2","79.7","83.3","82","80.5","80.8","88.3","40.8","72.7","74.2","75.1","69","65.2","71","63.3","71.2","75","97","98.7","99.3","99.7","96.5","85.9"
"Ciudad de México","98.3","98.5","103.9","94.9","93.4","91.7","97.4","54.6","61.5","62.6","61.4","51.8","49.5","37.1","47.3","54.2","52.8","38.5","77.8","80.1","58.6","82.8","","87.2"
"Durango","118.4","100.7","95.4","84.2","80.7","81.2","81.9","75.2","74.7","78.7","81.2","80.6","76.9","82","84.5","77.7","84.7","81.2","88.1","91.2","94.2","91.7","82","81.6"
"Guanajuato","130.8","98.6","104.6","88.7","82","82","94.6","93.2","90.7","89.3","96.2","94.5","93.3","91.8","93.8","88.1","81.1","80.3","85","84.1","79","82.4","80.2","65.8"
"Guerrero","127.5","100","66.6","85.5","78.2","78.7","66.9","88.7","91.6","87.8","93.8","93.8","91.8","90.8","98.1","85.4","77.7","82.1","91.8","92.8","92.1","92","85.6","65.2"
"Hidalgo","107.2","95.4","76.5","84.5","77.1","77.5","71","78.4","83.6","77.7","79.8","79.3","81.6","80.1","82.7","78.1","75.2","76.8","91.6","92.5","91.8","88.9","80.4","66.7"
"Jalisco","88.6","97.6","83.9","86.4","79.9","81.1","85.2","80.8","74.1","70.8","81","80.7","87.2","78.4","90.3","99.3","97","99.6","90.5","90.5","83.5","87","66","66.3"
"México","85.4","99","82.2","84.2","84.6","86.1","89","52.4","55","55.7","60.9","76","59.2","80.6","83.8","77.4","72.7","79.4","84.6","86.8","88.9","88.4","72.1","71.4"
"Michoacán de Ocampo","98.6","103.3","97.9","84.1","76.7","76.6","84.9","80.2","80.5","79.3","68","81.9","87.9","87.4","83","80.9","80.4","65.3","93.8","94.6","94.3","92.7","77.9","67.2"
