"3.3.8.Prevalencia de VIH en población adulta (15 a 49 años)",""
"Periodo","Prevalencia de VIH en población adulta (15 a 49 años)"
"2015","0.24"
"2014","0.238"
"2013","0.236"
"2012","0.234"
"2011","0.233"
"2010","0.233"
"2009","0.233"
"2008","0.233"
"2007","0.234"
"2006","0.236"
"2005","0.24"
"2004","0.244"
"2003","0.248"
"2002","0.254"
"2001","0.261"
"2000","0.269"
"1999","0.277"
"1998","0.284"
"1997","0.288"
"1996","0.289"
"1995","0.285"
"1994","0.275"
"1993","0.256"
"1992","0.224"
"1991","0.175"
"1990","0.111"
