"","3.7.2.bTasa de fecundidad de las adolescentes de 15 a 19 años por cada 1,000 mujeres de ese grupo de edad","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010"
"Estados Unidos Mexicanos","65.4","65.5","65.7","66","66.3","66.5","66.8"
"Aguascalientes","71.1","71.2","71.4","71.6","71.8","72","72.2"
"Baja California","70.1","70","70","70","70.2","70.4","70.5"
"Baja California Sur","80","80","80.2","80.3","80.5","80.6","80.9"
"Campeche","65.5","65.6","65.7","65.8","66","66.2","66.5"
"Coahuila de Zaragoza","85.9","85.9","86","86","86.1","86.2","86.2"
"Colima","74.4","74.5","74.5","74.7","74.8","74.9","74.9"
"Chiapas","56.9","57.7","58.6","59.7","60.9","62.2","63.7"
"Chihuahua","84.7","84.7","84.7","84.7","84.7","84.8","84.8"
"Ciudad de México","49.2","49.2","49.2","49.3","49.3","49.3","49.3"
"Durango","79.9","80.1","80.3","80.7","81.1","81.4","81.8"
"Guanajuato","56","56.2","56.5","56.8","57.1","57.5","57.8"
"Guerrero","63.7","64.5","65.3","66.3","67.4","68.5","69.7"
"Hidalgo","66.7","67","67.4","67.7","68.1","68.5","69"
"Jalisco","61.8","61.9","62.1","62.2","62.4","62.5","62.7"
"México","71.7","71.8","72","72.1","72.4","72.6","72.8"
"Michoacán de Ocampo","59.6","59.8","59.9","60.1","60.4","60.6","60.9"
"Morelos","57.4","57.4","57.5","57.6","57.7","57.8","58"
"Nayarit","79.3","79.3","79.4","79.5","79.6","79.8","80"
"Nuevo León","62.2","62.2","62.3","62.4","62.5","62.5","62.6"
"Oaxaca","60.3","60.8","61.3","61.9","62.5","63.1","63.9"
"Puebla","67.7","68.1","68.5","68.9","69.4","69.9","70.4"
"Querétaro","56.5","56.7","57","57.2","57.6","57.9","58.3"
"Quintana Roo","65.1","65.1","65.1","65.1","65.1","65.1","65.1"
"San Luis Potosí","63.2","63.6","64","64.4","64.9","65.3","65.8"
"Sinaloa","70.9","71","71.2","71.4","71.6","71.9","72.1"
"Sonora","82.9","82.8","82.8","82.8","82.8","82.8","82.9"
"Tabasco","65.9","66.3","66.7","67.2","67.6","68.1","68.5"
"Tamaulipas","63.5","63.6","63.8","64","64.2","64.4","64.5"
"Tlaxcala","74.9","75.3","75.6","75.9","76.3","76.7","77.1"
"Veracruz de Ignacio de la Llave","61","61.1","61.3","61.5","61.8","62.2","62.6"
"Yucatán","59.7","59.8","59.8","59.9","59.9","60","60.1"
"Zacatecas","65.5","65.6","65.8","66.1","66.4","66.7","66.9"
