"","4.6.2.Tasa de alfabetización de las personas de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","99.1","99","99","98.6","98.6","98.5","98.5","98.4","98","97.8","97.7","97.5","97.4","97.2","97","96.8","96.7","96.5","96.4","96.3","96.2","96.1","96","95.9","95.7","95.6","95.4"
"Aguascalientes","99.7","99.5","99.3","99.3","99.2","99.2","99.2","99.2","99","99","98.9","98.8","98.8","98.7","98.6","98.6","98.5","98.4","98.4","98.3","98.2","98.2","98.1","98","98","97.9","97.8"
"Baja California","99.5","99.5","99.4","99.3","99.2","99.2","99.2","99.1","99.8","99.7","99.5","99.4","99.2","99","98.8","98.6","98.5","98.4","98.4","98.4","98.4","98.3","98.3","98.3","98.3","98.3","98.3"
"Baja California Sur","99.5","99.5","99.4","99","99","98.9","98.9","98.9","98.9","98.8","98.8","98.7","98.6","98.5","98.4","98.3","98.2","98.1","98.1","98.1","98.1","98","98","98","98","98","98"
"Campeche","98.8","98.8","98.7","98.4","98.4","98.3","98.3","98.2","97.2","97.1","96.9","96.8","96.6","96.5","96.3","96.2","95.9","95.6","95.5","95.2","95","94.6","94.5","94.3","94.1","93.9","93.6"
"Coahuila de Zaragoza","99.7","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.1","99.1","99","99","98.9","98.8","98.8","98.7","98.7","98.6","98.6","98.6","98.5","98.3","98.3","98.3","98.3","98.3","98.2"
"Colima","99.2","99.1","99","98.7","98.7","98.6","98.6","98.5","98.6","98.4","98.3","98.1","97.9","97.8","97.6","97.4","97.2","97.1","97","97","96.8","96.7","96.7","96.7","96.7","96.7","96.7"
"Chiapas","96.3","96.3","96.1","94.9","94.7","94.6","94.4","94.2","91.9","91.5","91.1","90.6","90.2","89.8","89.4","89","88.6","88.1","87.6","87.2","86.8","86.4","86.1","85.7","85.3","84.8","84.3"
"Chihuahua","99.3","99.2","99.1","98.7","98.6","98.6","98.5","98.4","98.2","98.1","98","97.9","97.8","97.7","97.6","97.5","97.5","97.5","97.5","97.5","97.5","97.4","97.4","97.4","97.4","97.4","97.4"
"Ciudad de México","99.8","99.8","99.8","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.4","99.3","99.3","99.2","99.2","99.1","99.1","99.1","99.1","99.1","99.1","99","99","99","98.9"
"Durango","99.3","99.2","99.2","99.1","99","99","99","98.9","98.2","98.2","98.1","98","98","97.9","97.8","97.7","97.7","97.6","97.7","97.7","97.5","97.4","97.3","97.3","97.2","97.2","97.1"
"Guanajuato","99.2","99.2","99.1","98.8","98.8","98.7","98.7","98.6","98.9","98.7","98.4","98.2","97.9","97.7","97.4","97.1","96.9","96.6","96.5","96.3","96.1","95.8","95.7","95.5","95.3","95.1","94.9"
"Guerrero","98","97.9","97.7","96.6","96.4","96.3","96.1","96","95","94.6","94.2","93.8","93.5","93.1","92.7","92.3","91.9","91.4","91.2","91","90.7","90.5","90.3","90.1","89.7","89.4","89"
"Hidalgo","99.3","99.2","99.2","98.8","98.8","98.8","98.7","98.7","99","98.7","98.5","98.2","97.9","97.6","97.3","97","96.7","96.4","96.2","96.1","95.8","95.6","95.4","95.1","94.8","94.5","94.2"
"Jalisco","99.3","99.2","99.2","99.1","99","99","99","98.9","99.2","99","98.9","98.8","98.7","98.6","98.4","98.3","98.2","98","98","97.9","97.9","97.8","97.7","97.7","97.6","97.5","97.4"
"México","99.6","99.6","99.5","99.4","99.3","99.3","99.3","99.3","99.1","99.1","99","98.9","98.8","98.7","98.5","98.4","98.3","98.3","98.2","98.1","98.1","98","97.9","97.8","97.7","97.6","97.5"
