"","4.6.3.Tasa de alfabetización de las mujeres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","99.1","99.1","99","98.6","98.6","98.6","98.5","98.5","98","97.8","97.6","97.5","97.3","97.1","96.9","96.7","96.5","96.3","96.1","96","95.8","95.7","95.5","95.4","95.2","95","94.8"
"Aguascalientes","99.8","99.7","99.6","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.3","99.2","99.2","99.1","99","98.9","98.8","98.8","98.7","98.6","98.5","98.4","98.4","98.3","98.2","98.1","98"
"Baja California","99.5","99.5","99.4","99.4","99.3","99.3","99.3","99.2","99.8","99.7","99.6","99.5","99.3","99.1","98.9","98.8","98.6","98.5","98.5","98.5","98.5","98.4","98.4","98.4","98.4","98.4","98.4"
"Baja California Sur","99.5","99.4","99.3","99.1","99.1","99.1","99","99","99.1","99","99","98.9","98.8","98.7","98.6","98.5","98.4","98.3","98.3","98.2","98.2","98.1","98","98.1","98","98","98"
"Campeche","99.1","99.1","99","98.6","98.5","98.5","98.4","98.4","97.3","97.1","96.9","96.8","96.6","96.4","96.2","96","95.7","95.4","95.1","94.8","94.5","94","93.8","93.5","93.2","92.8","92.5"
"Coahuila de Zaragoza","99.8","99.7","99.7","99.7","99.6","99.6","99.6","99.6","99.5","99.4","99.4","99.3","99.2","99.2","99.1","99","99","98.9","98.8","98.8","98.8","98.6","98.6","98.6","98.5","98.5","98.5"
"Colima","99.3","99.2","99.1","99","99","98.9","98.9","98.9","99.1","98.9","98.8","98.6","98.5","98.3","98.1","97.9","97.8","97.6","97.5","97.5","97.3","97.2","97.1","97.1","97.1","97.1","97.1"
"Chiapas","95.6","95.6","95.4","93.8","93.6","93.5","93.3","93.1","89","88.6","88.2","87.7","87.3","86.9","86.4","85.9","85.5","84.9","84.2","83.6","83","82.5","81.9","81.3","80.7","80","79.3"
"Chihuahua","99.3","99.2","99.1","98.7","98.7","98.6","98.5","98.4","98.2","98.2","98.1","98","97.9","97.8","97.7","97.6","97.5","97.5","97.5","97.5","97.5","97.4","97.4","97.4","97.4","97.5","97.4"
"Ciudad de México","99.9","99.8","99.8","99.7","99.6","99.6","99.6","99.6","99.7","99.7","99.6","99.5","99.4","99.4","99.3","99.2","99.1","99","99","99","99","99","98.9","98.9","98.8","98.8","98.7"
"Durango","99.3","99.3","99.2","99.2","99.2","99.1","99.1","99.1","98.5","98.5","98.4","98.3","98.3","98.2","98.1","98","98","97.9","98","97.9","97.8","97.7","97.6","97.5","97.5","97.4","97.3"
"Guanajuato","99.4","99.4","99.3","99","99","99","98.9","98.9","99.3","99","98.8","98.5","98.3","98","97.7","97.4","97.1","96.8","96.6","96.4","96.1","95.8","95.6","95.4","95.2","94.9","94.6"
"Guerrero","98","97.9","97.7","96.5","96.3","96.2","96.1","95.9","94.2","93.8","93.4","93","92.6","92.2","91.7","91.3","90.8","90.4","90","89.7","89.4","89","88.7","88.4","88","87.6","87"
"Hidalgo","99.3","99.3","99.3","98.9","98.9","98.8","98.8","98.8","99.1","98.8","98.5","98.2","97.9","97.5","97.2","96.8","96.5","96.1","95.8","95.6","95.2","95","94.6","94.3","93.9","93.5","93"
"Jalisco","99.4","99.4","99.4","99.3","99.2","99.2","99.2","99.2","99.5","99.4","99.2","99.1","99","98.8","98.7","98.6","98.4","98.3","98.2","98.2","98.1","98","97.9","97.9","97.8","97.7","97.6"
"México","99.6","99.6","99.6","99.4","99.4","99.3","99.3","99.3","99.4","99.2","99.1","98.9","98.8","98.6","98.5","98.3","98.2","98","98","97.9","97.8","97.6","97.5","97.4","97.2","97.1","96.9"
"Michoacán de Ocampo","99","98.9","98.8","98.5","98.4","98.4","98.3","98.3","97.5","97.3","97","96.8","96.6","96.3","96.1","95.8","95.6","95.3","95.2","95","94.8","94.7","94.6","94.4","94.2","94","93.8"
"Morelos","99.5","99.4","99.4","99.1","99.1","99","99","98.9","99.2","99","98.8","98.7","98.5","98.3","98.1","97.9","97.7","97.5","97.4","97.3","97.2","97","97","96.9","96.8","96.7","96.6"
"Nayarit","99.2","99.1","99.1","98.9","98.8","98.8","98.7","98.7","98.2","98.1","98","97.8","97.7","97.6","97.4","97.3","97.1","97","96.9","96.9","96.8","96.8","96.7","96.7","96.7","96.6","96.5"
"Nuevo León","99.8","99.8","99.8","99.7","99.7","99.7","99.6","99.6","99.6","99.5","99.5","99.4","99.4","99.3","99.3","99.2","99.2","99.1","99.1","99.1","99","99","99","99","98.9","98.9","98.9"
"Oaxaca","98.5","98.5","98.3","97.5","97.4","97.4","97.3","97.2","96.6","96.1","95.7","95.2","94.8","94.3","93.8","93.3","92.8","92.3","92","91.7","91.4","91.3","90.8","90.4","89.8","89.3","88.7"
"Puebla","98.9","98.8","98.7","98.1","98","97.9","97.9","97.8","96","95.8","95.5","95.3","95.1","94.8","94.6","94.3","94.1","93.8","93.5","93.3","93","92.8","92.5","92.2","91.9","91.6","91.1"
"Querétaro","99.6","99.5","99.4","99.2","99.2","99.2","99.1","99.1","99.3","99.1","98.9","98.7","98.5","98.3","98.1","97.9","97.6","97.4","97.2","97","96.7","96.5","96.2","96","95.7","95.4","95.1"
"Quintana Roo","99.3","99.3","99.3","99","99","98.9","98.9","98.9","98.6","98.5","98.3","98.2","98","97.8","97.6","97.4","97.1","96.8","96.4","96","95.5","94.9","94.4","93.9","93.4","92.8","92.2"
"San Luis Potosí","99.5","99.5","99.4","99.2","99.2","99.1","99.1","99.1","99.4","99.2","99","98.8","98.6","98.4","98.1","97.9","97.6","97.3","97.2","97","96.8","96.6","96.4","96.3","96.2","96","95.8"
"Sinaloa","99.3","99.2","99.2","99.2","99.2","99.2","99.1","99.1","97.6","97.5","97.4","97.3","97.2","97.1","97","96.9","96.9","96.8","96.8","96.9","97","97.1","97.1","97.1","97.1","97.1","97.1"
"Sonora","99.7","99.7","99.6","99.5","99.4","99.4","99.4","99.3","99.5","99.5","99.4","99.3","99.2","99.1","99","98.9","98.8","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7"
"Tabasco","99","99","99","98.6","98.6","98.5","98.4","98.4","97.6","97.5","97.4","97.2","97.1","96.9","96.8","96.6","96.5","96.3","96.1","95.8","95.6","95.4","95.1","94.9","94.6","94.2","93.9"
"Tamaulipas","99.6","99.6","99.6","99.4","99.4","99.4","99.4","99.4","99.4","99.3","99.2","99.1","99","98.9","98.8","98.7","98.6","98.5","98.5","98.4","98.3","98.2","98.2","98.2","98.1","98.1","98"
"Tlaxcala","99.7","99.6","99.6","99.4","99.3","99.3","99.3","99.2","99.2","99.1","99","98.9","98.8","98.7","98.6","98.4","98.3","98.2","98.1","98","98","97.9","97.8","97.7","97.6","97.5","97.3"
"Veracruz de Ignacio de la Llave","98.6","98.5","98.4","97.7","97.6","97.5","97.5","97.4","96","95.8","95.5","95.2","94.9","94.6","94.3","94","93.6","93.3","93.1","92.8","92.5","92.2","92","91.8","91.5","91.3","90.9"
"Yucatán","99.2","99.1","99.1","98.7","98.6","98.6","98.5","98.5","98.2","97.9","97.6","97.3","97","96.7","96.4","96.1","95.8","95.3","94.8","94.5","94.1","93.4","93.1","92.9","92.6","92.3","92.1"
"Zacatecas","99.6","99.6","99.5","99.3","99.2","99.2","99.2","99.2","99.2","99.1","99","98.8","98.7","98.6","98.5","98.3","98.2","98","98","97.9","97.8","97.7","97.7","97.6","97.6","97.5","97.4"
