"","4.6.4.Tasa de alfabetización de los hombres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","99","99","98.9","98.6","98.5","98.5","98.4","98.3","98","97.9","97.7","97.6","97.5","97.3","97.2","97","96.9","96.7","96.7","96.6","96.6","96.5","96.4","96.4","96.3","96.2","96.1"
"Aguascalientes","99.6","99.3","99.1","99.1","99","99","99","98.9","98.6","98.6","98.5","98.4","98.4","98.3","98.3","98.2","98.1","98.1","98","98","98","97.9","97.9","97.8","97.8","97.7","97.6"
"Baja California","99.5","99.5","99.4","99.2","99.1","99.1","99.1","99","99.7","99.6","99.4","99.3","99.1","98.9","98.7","98.5","98.4","98.3","98.3","98.3","98.3","98.2","98.3","98.3","98.3","98.3","98.3"
"Baja California Sur","99.6","99.6","99.5","98.9","98.9","98.8","98.8","98.7","98.7","98.6","98.6","98.5","98.4","98.3","98.2","98.2","98.1","98","98","97.9","98","97.9","97.9","97.9","97.9","98","98"
"Campeche","98.6","98.5","98.4","98.3","98.2","98.2","98.1","98","97.2","97.1","97","96.8","96.7","96.6","96.5","96.3","96.1","95.9","95.8","95.7","95.5","95.3","95.2","95.2","95","94.9","94.8"
"Coahuila de Zaragoza","99.5","99.5","99.5","99.5","99.4","99.4","99.4","99.3","98.7","98.7","98.6","98.6","98.6","98.5","98.5","98.4","98.4","98.3","98.3","98.3","98.3","98.1","98.1","98","98","98","98"
"Colima","99.1","98.9","98.8","98.5","98.4","98.3","98.2","98.2","98.1","97.9","97.8","97.6","97.4","97.2","97","96.9","96.7","96.6","96.6","96.5","96.4","96.2","96.3","96.3","96.3","96.3","96.4"
"Chiapas","97","97","96.9","96","95.9","95.7","95.5","95.4","94.9","94.5","94.2","93.8","93.4","93.1","92.7","92.3","91.9","91.5","91.2","91","90.8","90.6","90.4","90.1","89.9","89.6","89.2"
"Chihuahua","99.3","99.2","99.1","98.7","98.6","98.6","98.5","98.4","98.1","98","98","97.9","97.8","97.7","97.6","97.5","97.4","97.4","97.4","97.5","97.5","97.4","97.4","97.4","97.4","97.4","97.3"
"Ciudad de México","99.8","99.7","99.7","99.6","99.6","99.6","99.6","99.5","99.5","99.4","99.4","99.4","99.4","99.3","99.3","99.3","99.3","99.2","99.3","99.3","99.3","99.3","99.3","99.2","99.2","99.2","99.2"
"Durango","99.2","99.1","99.1","99","98.9","98.9","98.8","98.8","97.9","97.9","97.8","97.7","97.7","97.6","97.5","97.4","97.4","97.3","97.5","97.4","97.3","97.2","97.1","97.1","97","97","97"
"Guanajuato","99.1","99","99","98.6","98.5","98.5","98.4","98.3","98.5","98.3","98.1","97.8","97.6","97.4","97.1","96.9","96.7","96.4","96.3","96.2","96.1","95.9","95.8","95.7","95.5","95.4","95.2"
"Guerrero","98","97.9","97.7","96.7","96.5","96.4","96.2","96.1","95.8","95.5","95.1","94.7","94.4","94","93.6","93.3","92.9","92.5","92.3","92.2","92","91.9","91.7","91.6","91.3","91.1","90.8"
"Hidalgo","99.2","99.2","99.1","98.8","98.7","98.7","98.6","98.6","98.8","98.6","98.4","98.2","97.9","97.7","97.5","97.3","97","96.8","96.7","96.6","96.4","96.3","96.1","96","95.8","95.6","95.3"
"Jalisco","99.1","99.1","99.1","98.9","98.8","98.8","98.7","98.7","98.8","98.7","98.6","98.5","98.4","98.3","98.1","98","97.9","97.8","97.8","97.7","97.6","97.6","97.5","97.5","97.4","97.4","97.3"
"México","99.6","99.6","99.5","99.3","99.3","99.3","99.2","99.2","98.9","98.9","98.8","98.8","98.7","98.7","98.6","98.6","98.5","98.5","98.5","98.4","98.4","98.4","98.3","98.3","98.3","98.2","98.2"
"Michoacán de Ocampo","98.5","98.3","98.2","97.7","97.6","97.5","97.4","97.3","96.4","96.2","96","95.7","95.5","95.3","95","94.8","94.6","94.4","94.3","94.2","94.1","94.1","94","93.9","93.8","93.7","93.5"
"Morelos","99.1","99","98.9","98.8","98.7","98.6","98.6","98.5","98.5","98.4","98.2","98.1","97.9","97.8","97.6","97.5","97.3","97.1","97.1","97.1","97","96.9","96.9","96.9","96.9","96.8","96.7"
"Nayarit","99","98.9","98.9","98.6","98.5","98.5","98.4","98.3","97.7","97.6","97.4","97.3","97.2","97.1","96.9","96.8","96.7","96.5","96.5","96.4","96.4","96.4","96.4","96.4","96.4","96.3","96.2"
"Nuevo León","99.7","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.1","99","99","99","99","98.9","98.9","98.9","98.9","98.9","98.9","98.8","98.8","98.8","98.8","98.8","98.8","98.7","98.7"
"Oaxaca","98.4","98.3","98.2","97.7","97.6","97.5","97.4","97.3","97","96.7","96.5","96.2","96","95.7","95.4","95.2","94.9","94.7","94.5","94.4","94.3","94.3","94.1","93.9","93.7","93.4","93.1"
"Puebla","98.7","98.6","98.5","98.1","98","97.9","97.8","97.7","96.9","96.8","96.6","96.4","96.2","96","95.8","95.6","95.4","95.2","95.1","95","94.9","95","94.8","94.7","94.6","94.4","94.2"
"Querétaro","99.5","99.4","99.3","99.1","99","98.9","98.9","98.8","99.1","99","98.9","98.7","98.6","98.5","98.3","98.2","98","97.9","97.8","97.7","97.6","97.5","97.4","97.3","97.2","97","96.9"
"Quintana Roo","99.3","99.2","99.2","98.9","98.8","98.8","98.8","98.8","98.7","98.6","98.5","98.4","98.3","98.1","98","97.8","97.7","97.5","97.3","97","96.8","96.5","96.3","96.1","95.8","95.5","95.3"
"San Luis Potosí","99.2","99.1","99","98.8","98.7","98.7","98.6","98.5","98.5","98.3","98.2","98","97.9","97.7","97.6","97.4","97.3","97.1","97","96.9","96.8","96.6","96.5","96.4","96.4","96.3","96.1"
"Sinaloa","98.9","98.9","98.8","98.7","98.7","98.7","98.6","98.6","96.3","96.2","96.1","96","96","95.9","95.9","95.8","95.8","95.7","95.9","96","96.1","96.2","96.2","96.2","96.2","96.2","96.2"
"Sonora","99.5","99.5","99.4","99.2","99.1","99.1","99","99","98.6","98.5","98.5","98.4","98.3","98.3","98.2","98.1","98.1","98","98.1","98.1","98.1","98.1","98.1","98.2","98.2","98.2","98.2"
"Tabasco","98.9","98.8","98.8","98.4","98.3","98.2","98.1","98","97.5","97.4","97.3","97.2","97.1","97","96.9","96.8","96.7","96.6","96.5","96.4","96.3","96.3","96.2","96.1","96","95.8","95.7"
"Tamaulipas","99.3","99.3","99.2","99.1","99.1","99","99","99","98.6","98.6","98.5","98.4","98.4","98.3","98.2","98.1","98.1","98","98","97.9","97.9","97.8","97.8","97.8","97.8","97.7","97.7"
"Tlaxcala","99.5","99.5","99.4","99.2","99.2","99.1","99.1","99","98.9","98.8","98.8","98.7","98.6","98.5","98.5","98.4","98.3","98.3","98.3","98.2","98.2","98.2","98.2","98.1","98.1","98.1","98"
"Veracruz de Ignacio de la Llave","98.4","98.2","98.1","97.4","97.3","97.2","97.1","97","96","95.8","95.6","95.4","95.2","95","94.8","94.5","94.3","94.1","94.1","94","93.8","93.8","93.7","93.6","93.5","93.4","93.3"
"Yucatán","98.8","98.8","98.7","98.5","98.4","98.4","98.3","98.2","98.4","98.1","97.9","97.7","97.4","97.2","96.9","96.6","96.3","96","95.7","95.5","95.4","94.9","94.8","94.8","94.6","94.5","94.5"
"Zacatecas","99.5","99.4","99.2","98.9","98.9","98.8","98.8","98.7","97.9","97.8","97.7","97.6","97.5","97.4","97.2","97.1","97","96.9","96.9","96.8","96.7","96.7","96.7","96.7","96.6","96.5","96.5"
