"","5.6.3.Prevalencia de uso de anticonceptivos en mujeres unidas en edad fértil","","","",""
"Entidad Federativa","2014","2009","2006","1997","1992"
"Estados Unidos Mexicanos","72.3","72.3","70.9","68.4","63.1"
"Aguascalientes","71.7","71.5","69.4","63.5","57.5"
"Baja California","77.1","78.8","76.7","74.1","73.7"
"Baja California Sur","75.5","76","82.6","77.1","77.2"
"Campeche","69.5","73.7","75.6","71.6","60.8"
"Coahuila de Zaragoza","73.9","75.1","78.5","75.3","73.5"
"Colima","75.7","78","78.9","73.7","70.2"
"Chiapas","58.6","54.8","56.6","53.5","49.9"
"Chihuahua","77","78.8","79.6","74.1","71"
"Ciudad de México","75.1","79.6","81.4","78.1","75.9"
"Durango","74.4","73","73","67.4","58.6"
"Guanajuato","68.1","67.9","61.5","54.6","53.5"
"Guerrero","67.1","61.2","54.7","47.4","46.9"
"Hidalgo","72.4","70.7","68.5","63.2","60.2"
"Jalisco","72.5","71.1","73","66.7","59.6"
"México","77.8","76.3","75.9","75.4","71.1"
"Michoacán de Ocampo","68.1","62.6","60.6","60.9","55.8"
"Morelos","73.5","75.3","73.2","73.8","66.5"
"Nayarit","75.1","78.6","76.7","74","70.3"
"Nuevo León","73.5","79.3","81.9","73.6","75.4"
"Oaxaca","61.2","63.1","55.9","55.1","46.3"
"Puebla","73.6","69.5","59.1","59.4","49.5"
"Querétaro","72.4","70.1","65.9","61.1","50.3"
"Quintana Roo","72.3","73.7","75.8","69.9","62.6"
"San Luis Potosí","70.9","67.2","68.3","60.6","51.9"
"Sinaloa","78.2","79.8","77.5","77.4","70.9"
"Sonora","77.1","80.3","79.5","76","70.4"
"Tabasco","69.5","66.3","73.8","68.7","66.9"
"Tamaulipas","73.8","73.4","72.6","72.4","66.8"
"Tlaxcala","74.7","65.1","71.8","72.1","57.9"
"Veracruz de Ignacio de la Llave","69.3","73.9","70.6","70.3","59.9"
"Yucatán","72.3","74.8","73.9","70.5","56.2"
"Zacatecas","69","69.4","65.4","68.3","57.4"
