"","5.6.4.Necesidad insatisfecha de métodos anticonceptivos","","","",""
"Entidad Federativa","2014","2009","2006","1997","1987"
"Estados Unidos Mexicanos","5","10","12","12.2","25.1"
"Aguascalientes","4.4","9.6","11.3","13.7",""
"Baja California","3.9","6.8","6.5","8.6",""
"Baja California Sur","5.9","6.8","4.8","6.4",""
"Campeche","5.3","10.1","8.1","8.8",""
"Coahuila de Zaragoza","5.4","6.8","8.3","7",""
"Colima","4.1","5.8","5.2","6.8",""
"Chiapas","7.8","22.7","22","20.8",""
"Chihuahua","4.2","5.2","5.9","7.3",""
"Ciudad de México","4.3","5.8","5","6.2",""
"Durango","4.2","6.5","11.1","14.6",""
"Guanajuato","5.2","11.1","17.6","19",""
"Guerrero","6.7","17.6","24.1","25.8",""
"Hidalgo","4.8","12.1","14.1","16.3",""
"Jalisco","4.7","10.2","10","10",""
"México","4.2","7.9","10.9","9.7",""
"Michoacán de Ocampo","4.4","15.4","15.3","17.5",""
"Morelos","5.9","7.7","9.6","11",""
"Nayarit","5.1","5.5","4","7.8",""
"Nuevo León","4.4","4.7","7.1","5.8",""
"Oaxaca","8.2","15.8","20.1","21.2",""
"Puebla","5.8","13.1","20.1","19.5",""
"Querétaro","4.9","10.9","12.4","18.2",""
"Quintana Roo","6","8.2","9.3","12.1",""
"San Luis Potosí","3.9","11","13.8","18.2",""
"Sinaloa","3.2","5.1","13.8","6.7",""
"Sonora","5.2","4.7","5.2","6.8",""
"Tabasco","4.5","12.1","10.1","12",""
"Tamaulipas","4","8.6","8.8","8.5",""
"Tlaxcala","3.6","14.2","14","11",""
"Veracruz de Ignacio de la Llave","5.4","11.3","13.8","12.7",""
"Yucatán","5","8.1","9.6","8.8",""
"Zacatecas","4.6","8.5","12.6","11.4",""
