"","8.5.5.Relación entre ocupación y población en edad de trabajar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000","1999","1999","1999","1998","1998","1998","1997","1997","1997","1996","1996","1996","1995","1995","1995"
"","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres"
"Estados Unidos Mexicanos","57.4","74.7","41.7","57.2","74.7","41.4","56.9","74.5","41","57.3","74.6","41.7","57.5","74.9","41.7","56.7","74.4","40.6","56.5","74.5","40.3","56.7","74.8","40.5","57.6","76.9","40.6","57.9","77.6","40.7","58","78","40.5","57.2","77.6","39.3","56.7","77.8","38","56.4","78","37.1","56.5","78.6","36.9","57","79.3","37.1","57.6","80","37.4","58","81.2","37","58.2","81","37.4","58","80.9","37.1","56.1","79.1","35","55.3","77.8","34.4"
"Aguascalientes","57.6","74.4","42.6","56.7","73.8","40.9","55.6","72.3","40.2","55.7","72.1","41.1","55","71.5","40.1","54.7","72.2","39.6","55","72","40.1","53.8","71.3","38.6","55.5","74.2","39.1","56.6","76.1","39.7","55.8","75.5","39","55.3","74.8","38.4","55.7","75.8","38.7","55.1","76","36.9","56.2","77.9","37.4","56.4","78.8","37.3","57","79.5","37.9","","","","56.6","79.9","35.9","","","","53.2","76.7","32.8","","",""
"Baja California","59.8","74.4","45.6","58.5","73.1","44.2","58.4","71.7","45.2","58.9","72.3","45.8","57.1","70","44.3","56.5","70.5","42.5","56.2","70.4","42.2","57.3","71.2","43.6","59.3","74.5","44.7","58.5","75.2","42.6","58.6","75.5","42.6","57.8","76.8","39.7","57.6","77.6","38.3","57.7","76.9","39.6","58.9","76.9","41.4","60.2","79.7","41.3","61.2","80.2","42.6","","","","61","80.9","41","","","","58.7","79.7","37.9","","",""
"Baja California Sur","63.1","76.8","49.1","63.9","77.7","49.8","63.2","76.4","49.7","62.9","76","49.5","62.4","74.6","50.1","61.4","75.6","47.3","60.3","74.7","45.5","61.2","76.3","45.6","64.9","81","48.5","63.4","81.6","44.8","62","80.9","42.3","60.4","79.4","41.5","60.4","80","40.3","61.3","80.6","41.1","59.9","79.7","40.1","61.4","81","41.7","61.1","79.9","41.9","","","","60.5","81.4","39","","","","61.4","81.9","41","","",""
"Campeche","58.7","78.6","40","60.1","79.7","41.6","59.8","79.4","41.3","60.4","79.8","42","61.7","81.1","43.6","60.3","80","41.9","59.5","79.7","40.4","59.5","79.6","40.5","60.4","81.4","40.6","59.9","81.5","39.8","61.3","81.1","42.3","61.8","82.1","42.5","59.8","82.2","39.1","60.3","82.9","38.7","60.1","82.8","38","59.8","82.9","37.5","56.1","80","32.6","","","","56","81.2","30.9","","","","58.7","83.6","33.6","","",""
"Coahuila de Zaragoza","59.2","76.7","42.4","57.9","74.7","42","58.2","75.3","42.2","58.1","74.5","42.4","57.5","74.3","41.3","56.4","73.9","39.7","54.5","71.1","38.7","55.4","72.8","39.1","57.3","76.4","39.5","57","76.7","38.5","56.5","75.2","38.8","54.5","74.3","36.2","55.2","76.6","34.9","54.3","75.7","34","54.5","76.6","33.5","55.6","78.4","34.1","58.3","80.6","37.4","","","","59.2","80.4","39.4","","","","56.9","77.4","37.4","","",""
"Colima","64.2","77.1","51.9","63.7","76.6","51.8","64.6","77.8","52.3","64.3","76.6","53","64.7","77.8","52.4","62.8","76.6","50.1","62.5","76.9","49.1","63.3","78.5","49.2","64.7","80.1","50.6","61.5","78.6","46.3","62.6","78.7","47.7","61.7","78.2","46.7","61","79.2","44.7","60.2","79.5","42.7","60.8","80.9","42.4","62.4","81.2","45.2","61.6","81.2","43.7","","","","61.4","82.2","42","","","","58.2","80.8","37.3","","",""
"Chiapas","54","79.8","30.4","54.4","80.8","30.3","53.9","81.2","29.3","55.4","82","31.3","56.2","83.6","32.1","56.7","84.1","32.1","56","82.6","31.7","56.3","83.9","32","55.1","84.4","29.6","55.7","84.3","30.6","55.4","84.9","29.2","56.7","85.3","31.4","55.9","84.8","29.1","57.7","83.8","33.6","60.7","85.1","38.6","63.1","86.2","42.2","63.4","85.8","42.4","","","","62.9","90.1","36.3","","","","60.5","88","33.3","","",""
