"","8.5.6.Proporción de trabajadores por cuenta propia y los no remunerados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000","1999","1999","1999","1998","1998","1998","1997","1997","1997","1996","1996","1996","1995","1995","1995"
"","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres"
"Estados Unidos Mexicanos","27.2","25.4","30.3","27.7","26","30.6","28","26.4","30.5","28.4","26.6","31.4","28.4","26.2","32","28.8","26.8","32.2","28.9","27","32.1","29.9","28","32.9","28.9","26.8","32.3","29.4","27.4","32.7","29.8","28.1","32.7","30.9","29.5","33.3","32","30.5","34.7","32.5","31","35.2","32.3","31.1","34.5","32","31.1","33.7","31.7","31.1","32.8","33.8","32.7","35.9","34.1","32.9","36.4","36.2","34.5","39.6","35","34.2","36.8","36.6","35.5","39"
"Aguascalientes","16.9","14.6","20.4","16.7","14.8","19.8","17.2","15.3","20.4","18.8","17.5","20.9","18.8","17.3","21.3","19.5","17.1","23.4","19.2","17.2","22.3","19.5","18.1","21.8","19.5","17.6","22.6","20.5","18.8","23.2","19.6","18","22.2","20.5","19.3","22.7","21.4","19.9","23.8","22.5","22.5","22.6","21.6","21.4","22","20.3","20.5","20.1","19.7","20.3","18.7","","","","22.5","23.2","21","","","","23.7","25.3","20.4","","",""
"Baja California","17.1","15.8","19.3","17.7","16.2","20.1","18.2","17","20","18.8","17.7","20.5","19.3","18.2","20.9","18.7","17.7","20.3","19.5","18.6","20.9","18.9","18.1","20.3","17.4","16.9","18.1","16.6","16.5","16.8","17.8","18.6","16.4","18.3","19.6","15.8","19.6","21.5","15.9","20.2","21.7","17.5","18.6","19.2","17.6","19","20.9","15.5","18.6","19.6","16.8","","","","16.2","16.7","15.2","","","","17.4","17.4","17.6","","",""
"Baja California Sur","16.6","14.5","20","16.7","15","19.4","17.2","15.8","19.4","19.2","17.5","21.8","18.8","16.4","22.4","21.1","18.8","24.8","21","18.3","25.7","19.8","18.3","22.3","18","16.5","20.5","18.3","17.3","20.2","19.4","19","20.1","21.1","21.4","20.7","22.2","22.3","22","22.8","21.7","25","22.3","21.8","23.4","23","22.9","23","23.2","23.4","22.8","","","","21.1","21.8","19.7","","","","22.1","20.4","25.4","","",""
"Campeche","32.4","30.1","36.7","32.4","30.7","35.4","32.2","30.3","35.6","32.9","31.1","36.2","33.9","31.9","37.2","34.9","33.6","37.1","34.3","33","36.7","35","34","36.9","32.8","31.5","35.3","34.3","32.6","37.4","33.4","31.6","36.7","34.8","32.9","38.4","34.9","32.6","39.4","34.9","32","41","35.2","32.7","40.3","34.8","33.6","37.3","34.5","35","33.3","","","","40.1","42.3","34.2","","","","39.8","40.3","38.4","","",""
"Coahuila de Zaragoza","18.5","16.1","22.6","16.7","14.9","19.8","17.9","16","21.1","19.7","17.7","23.2","21.3","18.6","26.1","20.4","17.7","25.1","22.5","19","28.8","23.3","21.1","27.2","21.8","19","26.9","22.1","19.8","26.4","21","19","24.5","20.7","19.3","23.3","21.3","20.5","22.9","22.4","22","23.4","22.2","22.1","22.4","20.3","20.8","19.3","20.3","20","20.9","","","","26.3","23.9","30.9","","","","24.1","21.9","28.4","","",""
"Colima","20.4","16","26.5","21","16.8","26.9","21.8","17.2","28.3","23.4","19.1","29","23.9","19.2","30.5","23.3","17.9","31","22.6","17.9","29.6","22.8","18.9","28.5","22.7","18.1","29.4","21.2","17.7","26.7","22","18.2","27.8","21.6","18.1","26.9","23.6","20.4","28.6","23.2","20.1","28.4","22.3","19.1","27.9","24.5","20.5","31.1","23.7","19.5","30.8","","","","22.9","20.1","28","","","","23.2","20.9","27.9","","",""
"Chiapas","47.8","48.6","45.8","48.7","50.5","44.6","48.7","49.7","46.1","49.2","49.3","49.1","47.8","48.1","47.3","48.2","48.2","48.2","48.3","49.6","45.4","48","47.7","48.6","46.9","47.1","46.5","48.8","47.5","52","48.2","48.1","48.4","49.6","49.1","51","53.1","52.5","54.7","48.7","45.2","56.7","50.5","45.2","61.1","51.6","45.4","62.9","52.8","47","63.9","","","","60.6","57.8","67.5","","","","56","54.4","60.4","","",""
