"","8.5.7.Proporción de mujeres en el total de asalariados en el sector no agropecuario","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995"
"Estados Unidos Mexicanos","41.4","41.4","41.4","41.6","41.1","40.9","40.8","41","40.4","40.6","40.7","40","38.7","38.5","38.7","38.8","38.8","37.7","37.7","37.4","37.7","38"
"Aguascalientes","40","39.1","39.3","41","40.3","40","40.6","40.8","39.5","39.8","40","40.1","40.1","40.3","39.7","39.5","40.2","","38.7","","39.7",""
"Baja California","40.4","39.7","40.9","41.5","41","40.4","40.5","40.8","40.5","40.5","41.9","39.9","37.8","38.8","38.8","38.9","38.8","","36.6","","34.6",""
"Baja California Sur","39.6","40.8","42","41.3","42.4","40.8","39.3","39.9","39.3","37.3","36.6","38.3","36.7","36.2","38.1","38.1","39","","38.4","","38.1",""
"Campeche","39.1","39.7","39.3","39.3","39.7","40.4","39.3","39.3","38.7","37.9","39.2","39.3","37.5","36.2","35.9","36.5","35.5","","35.5","","36.7",""
"Coahuila de Zaragoza","36.6","38","37.8","37.9","36.4","36.3","35.5","37.6","35.8","35","36.1","36.2","34.6","33.9","33.8","34.8","34.6","","34.7","","34.2",""
"Colima","44.7","45.1","44.8","45.4","44.2","43.6","44.1","44.4","43.4","42.7","42.7","43.9","42.8","39.8","40.2","41.2","40.9","","40.3","","39.8",""
"Chiapas","41.5","42.3","41.1","40","41.5","40.3","41.9","39.1","39.1","37.3","37.6","38.1","36.1","37.3","38.6","38.9","37.5","","35.1","","37.4",""
"Chihuahua","40.5","38.6","39.6","41.2","39.1","38","39.7","40.3","39.2","39.3","40.3","39.4","37.9","37.7","38.2","40.4","41.5","","37.7","","38.5",""
"Ciudad de México","45.5","46.8","47.6","47.5","46.6","46.2","46.1","45.9","45.1","45.3","45.3","43.9","42.3","41.9","42.6","43.1","42.6","","41.6","","41.9",""
"Durango","38.6","40.8","39.8","37.7","37.4","38.1","38.6","37.8","38","38","39.4","39.9","38.4","39.4","40.2","40.3","40.4","","37.6","","40.1",""
"Guanajuato","41.8","41.3","42.1","42.4","41.6","42.1","43.6","42.3","39.6","40.2","41.8","39.6","40.5","38.3","41.8","41.3","42.3","","38.9","","37.5",""
"Guerrero","46.1","44","44.8","44.7","43.5","45.6","45","44.3","43.8","44","44.6","42.3","42.3","41.7","41.8","41","39.1","","40.8","","36.7",""
"Hidalgo","41.9","41.5","43","43","41.7","42.2","41.1","42","40.8","41.9","42","43.1","41.4","42.2","45.2","45","46.2","","40.6","","36.5",""
"Jalisco","41","42","42.8","43.4","43","42.8","42.7","41.9","41.2","41.6","41.7","42.1","41.9","41.3","41.2","40.8","42.2","","40.9","","39.9",""
