"","8.8.1.Tasa de incidencia de lesiones ocupacionales mortales y no mortales, desglosada por sexo","","","","","","","","","","","","","","","","","","","","","","",""
"Periodo","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres"
"2015","2.4","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","2.6","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","2","","","","","","","","","","","","","","","","","","","","",""
"2014","","","","2.4","","","","","","","","","","","","","","","","","","","",""
"2014","","","","","2.7","","","","","","","","","","","","","","","","","","",""
"2014","","","","","","1.9","","","","","","","","","","","","","","","","","",""
"2013","","","","","","","2.6","","","","","","","","","","","","","","","","",""
"2013","","","","","","","","2.8","","","","","","","","","","","","","","","",""
"2013","","","","","","","","","2","","","","","","","","","","","","","","",""
"2012","","","","","","","","","","2.7","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","3","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","2.1","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","2.8","","","","","","","","","","",""
"2011","","","","","","","","","","","","","","3.2","","","","","","","","","",""
"2011","","","","","","","","","","","","","","","2.2","","","","","","","","",""
"2010","","","","","","","","","","","","","","","","2.8","","","","","","","",""
"2010","","","","","","","","","","","","","","","","","3.1","","","","","","",""
"2010","","","","","","","","","","","","","","","","","","2.1","","","","","",""
"2009","","","","","","","","","","","","","","","","","","","2.9","","","","",""
"2009","","","","","","","","","","","","","","","","","","","","3.5","","","",""
"2009","","","","","","","","","","","","","","","","","","","","","1.6","","",""
"2008","","","","","","","","","","","","","","","","","","","","","","2.9","",""
"2008","","","","","","","","","","","","","","","","","","","","","","","3.2",""
"2008","","","","","","","","","","","","","","","","","","","","","","","","1.4"
