"","9.c.2.Número de suscripciones telefónicas fijas por cada 100 habitantes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","16","15.9","15.4","15.6","17.5","17","17.3","17.2","18.3","18.1","18.2","18.1","17","15.5","14.4","13.4","12.2","10.9","10","9.5","9.2","9.3","9.1","8.3","7.4","6.7","6.1"
"Aguascalientes","16.9","17.3","16.6","17.1","22.1","21.1","21.5","20.4","19.9","20.5","22.2","19.3","17.7","15.5","13.8","12.8","11.5","10.4","9.4","9","8.6","9.1","8.6","7.6","7","6.1","5.1"
"Baja California","17.9","17.6","15.6","15.5","16.8","17.4","18.2","18.4","20.9","22.6","24.2","25.2","23.7","22","20.9","19.7","17.8","16.5","14.7","15","14.4","13.8","13.1","12.3","10.8","9.9","9.2"
"Baja California Sur","16.4","15.8","14.7","15.2","15.8","16.4","16.5","16.9","19.2","19.2","20.2","20.8","20","18.8","17.8","16.7","14.9","13.2","12.2","11.5","11.1","11.6","11.8","10.9","10","9.1","8.2"
"Campeche","8.4","8.9","8.8","8.8","8.4","8.9","9.2","9.4","10.4","10.5","10.7","10.8","10.1","9.1","8.2","7.6","6.9","6.1","5.8","5.4","5.3","5.4","5.4","4.6","4","3.5","3.3"
"Coahuila de Zaragoza","22.2","19.6","17.1","17.2","18.3","17.8","18.9","18.9","20.6","20.3","20.3","20.4","18.9","17.2","15.8","14.7","13.2","12.2","11.1","10.5","10.2","10.4","10.4","9.5","8.9","8.2","7.5"
"Colima","25.4","16.3","16.1","17.3","16.9","17.5","18.3","18.4","19.7","20.2","21.3","21.4","20.2","18.1","16.6","15.2","13.8","12.2","11.1","10.3","10","10.2","10","9.1","8.2","7.4","6.9"
"Chiapas","5","3.9","3.8","4","4.7","4.9","5.3","5.3","5.6","5.3","5.4","5.4","5","4.4","4","3.6","3.3","3","2.8","2.6","2.6","2.6","2.5","2.2","2","1.8","1.6"
"Chihuahua","13.3","15","14.5","14.5","17.2","17.4","18.6","19","20.9","21.3","21.3","20.9","19.7","17.7","16.4","15.3","13.8","12.8","11.9","11.4","10.9","11.3","11.2","10.5","9.7","8.6","8"
"Ciudad de México","42.8","45.8","44.9","44.5","55.1","47.1","45.8","43.5","45.3","43.1","41.8","41.3","39.2","37.5","35.8","33.8","31.6","28.3","26.4","25.3","24.4","24.9","24.6","22.7","20.6","19.8","17.5"
