"","9.c.3.Número de suscriptores a teléfonos celulares móviles por cada 100 habitantes","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Estados Unidos Mexicanos","91","88.6","87.3","89.8","85.6","81.3","79.5","73.3","67.2","60.2","50.8","43.7","36.1","28.6","24.9","21.2","13.9"
"Aguascalientes","107.3","104.4","105.8","85.4","79.4","76.4","75","70.5","56","53.6","50.2","48.4","41.3","33.1","28.8","24.6","16.3"
"Baja California","106.3","103.5","103.4","91.1","88.7","90.4","85.4","84.5","79","77.7","69.9","61.4","53","47.4","49","45","30.9"
"Baja California Sur","103.3","100.6","100.4","123.4","115.1","102.4","147.2","135.1","129","97","72.6","58.7","48","38.7","39.1","28.9","19"
"Campeche","85","82.7","83.1","99.2","94","84.8","82.5","76.4","68.9","61.6","55.3","55.5","33.1","17.5","11.9","8.8","5.7"
"Coahuila de Zaragoza","83.9","81.6","80.2","100.7","102.2","97.3","95.2","87.3","83.5","71.6","55.3","47","38.2","32.3","30","29.2","18.2"
"Colima","95.8","93.3","92.8","112.1","103.2","97.9","97.6","87.7","80.5","73.1","61.7","51.6","40.2","36.3","31.3","27.5","14.4"
"Chiapas","58.1","56.5","54.1","61.1","58.3","51","47.7","41.5","38.4","34","28.6","17.8","11.5","7.3","5","3.4","2.3"
"Chihuahua","85.5","83.2","85.5","88","81.9","81.3","81.1","78.1","74.2","69.8","64.8","52.9","45.1","38.9","37.3","38.2","25"
"Ciudad de México","136.1","132.5","136.7","113.5","108.5","106.5","103.7","92.3","82.8","74.8","62.5","57.3","62.1","46.6","38.5","31","23.4"
"Durango","82.2","80","76.3","45.4","44.6","43","43.8","41.8","40.9","34.9","23.9","19.6","15.1","11.7","11.4","10.1","6"
"Guanajuato","74","72","70.5","79.4","74.9","69.3","67.6","62.4","44.6","41.5","38.6","33.7","27.6","22.3","19","16","9.3"
"Guerrero","62.1","60.4","53.1","62.4","58.3","52.2","51","45.9","41.4","37.7","31.1","26.2","20.9","16","13.4","10.9","6.4"
"Hidalgo","69.5","67.7","68.5","93.7","90","84","83.8","75.1","75.4","67.5","58.9","48.5","32.9","21.8","15.3","9.9","6.7"
"Jalisco","102.3","99.6","101.2","97.4","92.9","90.3","85.8","80.7","75.6","69.5","61","54.8","45","36.7","32.4","29.3","18.9"
"México","110.7","107.8","108.9","99.5","96.9","94.2","91.7","85.1","77.5","69.7","59.3","54.3","39.6","30.8","25.3","20.2","14.7"
"Michoacán de Ocampo","64.2","62.5","61.9","78.2","75.2","69.1","68.8","63.7","58","50.9","41.7","32.1","25.2","19.2","16.9","13.7","8.4"
"Morelos","86.3","84","81","113","109.8","103.3","104","91.6","85.6","76.4","69","66.4","49.8","36.9","28","20.2","12.1"
"Nayarit","89.1","86.7","87.6","75.5","71.9","68","68.9","61.7","54.7","47.4","38","28.7","22.6","18.5","13.8","14.1","6.9"
"Nuevo León","119.7","116.5","125.4","109.6","99.6","97.5","97.5","93.5","88.2","81.7","69.3","62.3","54","47.6","46.8","44.2","27.3"
"Oaxaca","60.6","58.9","49.5","60.3","56.7","48.4","46.2","40.7","37","32.6","25.6","18.4","13.5","9.9","8.1","6.3","3.3"
"Puebla","73","71","71.9","80.6","75.4","69","64.8","59.1","53.4","44.4","36.9","31.8","25.3","20.7","17.6","14.2","9.2"
"Querétaro","98.2","95.5","89.5","104.4","92.6","85.2","81.1","77.3","120.6","93.7","57.2","51.8","42.4","33.8","29.2","24.6","15.7"
"Quintana Roo","105.8","103","110.4","102.6","100","95","97.5","96.6","96.4","90.4","79.5","125","134.4","126.9","111.2","82","42.7"
"San Luis Potosí","81.7","79.5","76.3","78.6","73.1","65.2","60.7","54.4","40.6","37.2","33.6","29.6","23.4","17.5","14.8","12.1","7.4"
"Sinaloa","94.7","92.2","84.7","92.4","89.3","88.9","87.8","83.3","75.6","67.5","55.1","42.6","33.2","35.7","35","28.5","17.7"
"Sonora","97.2","94.6","93","93.2","91.1","91.1","90.6","85.6","79.3","70.4","58.1","48.4","40.6","25.3","23.8","24.6","21"
"Tabasco","76.6","74.6","70.1","91.1","87.2","78.6","78","74.5","69","61","51.9","30.1","20.1","13.4","8.8","6.7","4.5"
"Tamaulipas","83.3","81.1","79.7","107.8","103.4","101.4","102.8","96.1","86","77.4","64.6","50","41.6","32.9","34.4","32.6","20.1"
"Tlaxcala","87.3","85","83.4","67.1","62","56.5","53","46.8","42.9","37.8","30.8","23.5","18","12.3","10.9","8.5","4.3"
"Veracruz de Ignacio de la Llave","73.6","71.6","52.8","81.7","78","71.1","68.1","59.8","52.7","45.8","37.1","29.1","22.6","17.1","14.2","11.7","6.8"
"Yucatán","100.6","98","103.6","82.4","81.3","76.7","74.9","70","66.6","60.7","53.3","33.8","24.8","15.3","9.6","7.7","5.2"
"Zacatecas","66.1","64.3","64.9","70.7","64.1","57.9","55.6","49.8","35.4","32.6","29.1","25","19.3","13.3","11.6","9.6","5.8"
