"17_3_2_ESVolumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total",""
"Objetivo","Fortalecer los medios de implementación y revitalizar la Alianza Mundial para el Desarrollo Sostenible"
"Meta","Movilizar recursos financieros adicionales de múltiples fuentes para los países en desarrollo"
"Nombre del Indicador","Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total"
"Definición","Es el porcentaje que representa la cantidad en moneda nacional o extranjera proveniente del exterior, transferida a través de empresas, originada por un remitente (persona física residente en el exterior que transfiere recursos económicos a sus familiares en México) para ser entregada en territorio nacional a un beneficiario (persona física residente en México que recibe los recursos que transfiere el remitente) respecto al Producto Interno Bruto (PIB)."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","División del monto de remesas totales en un trimestre entre el PIB nominal en dólares de México de ese trimestre."
"Unidad de medida","Porcentaje"
"Cobertura geográfica","Nacional"
"Referencia temporal","1996/I-2017/I"
"Oportunidad","55 días naturales después de concluido el trimestre"
"Periodicidad del indicador","Trimestral"
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Para ingresos por remesas, Banco de México (BANXICO), Balanza de Pagos, estadística trimestral; para PIB en dólares, cálculo de Banco de México (BANXICO) con base en la estadística trimestral del PIB nominal en pesos del Instituto Nacional de Estadística y Geografía (INEGI),  Indicadores Económicos de Coyuntura y el  tipo de cambio promedio del periodo del peso respecto al dólar de los EE.UU., fecha de determinación (FIX) de Banco de México."
"Fecha de actualización del indicador","11 de agosto de 2017"
"Fecha de próxima actualización del indicador","Agosto de 2017"
"Unidad de Estado (UE) responsable de calcular el indicador","Banco de México (BANXICO), Dirección General de Investigación Económica.
BANXICO"
"Importancia y utilidad del indicador","Como una medida de la importancia relativa de la entrada de recursos financieros al país por concepto de remesas, debido al impacto que estos recursos tienen sobre los ingresos de las familias receptoras y los efectos multiplicadores que generan sobre la actividad económica."
"Referencia nacional y/o internacional","Sin referencia."
"Observaciones","No aplica."
"Contacto","Ricardo Leyva Bernal
Jefe de la Oficina de Servicios No Factoriales
Teléfono: 5237 2599
Email: rleyva@banxico.org.mx
Dirección: Avenida 5 de Mayo #2, Colonia Centro, C. P. 06059, Cuauhtémoc, Cuauhtémoc Ciudad de México"
"",""
"",""
"",""
"",""
