"5_5_1_cProporción de mujeres que son titulares de un juzgado",""
"Objetivo","Lograr la igualdad de género y empoderar a todas las mujeres y las niñas"
"Meta","Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública"
"Nombre del Indicador","Proporción de mujeres que son titulares de un juzgado"
"Definición","Es la participación de las mujeres como titulares en los juzgados."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","Proporción de mujeres que son titulares de un juzgado con respecto al total de juzgados en el país."
"Unidad de medida","Porcentaje"
"Cobertura geográfica","Nacional"
"Referencia temporal","2015-2015"
"Oportunidad","3 meses"
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Impartición de Justicia Estatal."
"Fecha de actualización del indicador","15 de junio de 2017"
"Fecha de próxima actualización del indicador","Diciembre de 2017"
"Unidad de Estado (UE) responsable de calcular el indicador","Instituto Nacional de las Mujeres (INMUJERES).
INMUJERES
http://www.inmujeres.gob.mx/"
"Importancia y utilidad del indicador","Medir la participación de las mujeres en puestos de toma de decisiones."
"Referencia nacional y/o internacional",""
"Observaciones","Se considera solo al personal de órganos jurisdiccionales."
"Contacto","Act. María Eugenia Medina Domínguez
Directora de Estadística
Teléfono: 55 5322 4200
Email: mmedina@inmujeres.gob.mx
Dirección: Boulevard Adolfo López Mateos # 3325 piso 5, Colonia San Jerónimo Lídice, C.P. 10200, Magdalena Contreras, Magdalena Contreras, Ciudad de México"
"",""
"",""
"",""
"",""
