"5_5_2Proporción de mujeres en cargos directivos",""
"Objetivo","Lograr la igualdad de género y empoderar a todas las mujeres y las niñas"
"Meta","Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública"
"Nombre del Indicador","Proporción de mujeres en cargos directivos"
"Definición","Participación de las mujeres ocupadas en cargos directivos como funcionarias o directoras."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","Proporción de mujeres ocupadas en cargos directivos como funcionarias y directoras con respecto al total de la población ocupada en ese grupo de ocupación."
"Unidad de medida","Porcentaje"
"Cobertura geográfica","Nacional"
"Referencia temporal","2010-2016"
"Oportunidad","3 meses"
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Instituto Nacional de Estadística y Geografía (INEGI). Encuesta Nacional de Ocupación y Empleo (ENOE), segundo trimestre"
"Fecha de actualización del indicador","15 de junio de 2017"
"Fecha de próxima actualización del indicador","Agosto de 2017"
"Unidad de Estado (UE) responsable de calcular el indicador","Instituto Nacional de las Mujeres (INMUJERES).
INMUJERES
http://www.inmujeres.gob.mx/"
"Importancia y utilidad del indicador","Medir la participación de las mujeres en puestos de nivel directivo."
"Referencia nacional y/o internacional",""
"Observaciones","Se considera el grupo de ocupación funcionarios y directivos de los sectores público, privado y social de los grupos de ocupación de la encuesta nacional de ocupación y empleo que se levanta trimestralmente. Como representación del año, se considera el segundo trimestre.
El indicador considera a la población de 15 años o más."
"Contacto","Act. María Eugenia Medina Domínguez
Directora de Estadística
Teléfono: 55 5322 4200
Email: mmedina@inmujeres.gob.mx
Dirección: Boulevard Adolfo López Mateos # 3325 piso 5, Colonia San Jerónimo Lídice, C.P. 10200, Magdalena Contreras, Magdalena Contreras, Ciudad de México"
"",""
"",""
"",""
"",""
